Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.1;kjonn.0;kjonn.alle;kjonn.1;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle
;;;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.personer
0911 Gjerstad;911;Gjerstad;42,2;41;43,3;26;12;14;42,2;:;:;41,9;26;:;:;20
0912 Vegårshei;912;Vegårshei;41;37;44,4;28;13;15;41;44,7;.;40,4;28;4;.;24
0914 Tvedestrand;914;Tvedestrand;37,7;36,5;38,9;76;39;37;37,7;32,8;.;38,4;76;10;.;66
0919 Froland;919;Froland;40,3;40,2;40,3;67;31;36;40,3;42;.;40,1;67;5;.;62
0926 Lillesand;926;Lillesand;42,2;41,6;42,9;135;73;62;42,2;:;:;42,2;135;:;:;123
0928 Birkenes;928;Birkenes;41,2;39,6;42,7;62;30;32;41,2;:;:;41,2;62;:;:;52
0929 Åmli;929;Åmli;34,2;30,8;38,1;22;12;10;34,2;35,7;.;33,9;22;3;.;19
0935 Iveland;935;Iveland;37,9;35,4;40,2;19;9;10;37,9;:;:;:;19;:;:;:
0937 Evje og Hornnes;937;Evje og Hornnes;37,9;34,8;40,8;47;23;24;37,9;33,6;.;38,3;47;4;.;43
0938 Bygland;938;Bygland;38;36,1;39,4;19;8;11;38;:;:;:;19;:;:;:
0940 Valle;940;Valle;43,6;39,8;46,9;15;7;8;43,6;:;:;:;15;:;:;:
0941 Bykle;941;Bykle;39,6;33,7;44,5;20;9;11;39,6;:;:;:;20;:;:;:
1001 Kristiansand;1001;Kristiansand;40,8;39,1;42,6;942;501;441;40,8;35,2;39,8;41,3;942;72;65;805
1002 Mandal;1002;Mandal;41,5;40;42,8;193;88;105;41,5;37,7;.;41,8;193;12;.;181
1003 Farsund;1003;Farsund;39,1;37,2;41,1;154;78;76;39,1;31,8;.;39,5;154;8;.;146
1004 Flekkefjord;1004;Flekkefjord;39,7;40,6;38,5;98;55;43;39,7;41,4;45,4;39,3;98;8;3;87
1014 Vennesla;1014;Vennesla;37,6;35,8;39,3;212;105;107;37,6;32,7;39,5;37,9;212;14;3;195
1017 Songdalen;1017;Songdalen;38,5;39,3;37,1;73;46;27;38,5;:;:;38,5;73;:;:;65
1018 Søgne;1018;Søgne;40,9;39,3;42,2;172;78;94;40,9;:;:;41,1;172;:;:;166
1021 Marnardal;1021;Marnardal;39,6;37,8;41,3;31;15;16;39,6;36,9;.;39,9;31;3;.;28
1026 Åseral;1026;Åseral;38,4;35,7;40,4;17;7;10;38,4;:;:;:;17;:;:;:
1027 Audnedal;1027;Audnedal;39,1;37;41,3;31;16;15;39,1;.;.;39,1;31;.;.;31
1029 Lindesnes;1029;Lindesnes;37,9;35,3;40,1;60;28;32;37,9;:;:;38,3;60;:;:;54
1032 Lyngdal;1032;Lyngdal;38,4;36,1;40;110;46;64;38,4;:;:;38,8;110;:;:;99
1034 Hægebostad;1034;Hægebostad;38,3;34,8;40,7;22;9;13;38,3;.;.;38,3;22;.;.;22
1037 Kvinesdal;1037;Kvinesdal;38,4;36,1;41,1;66;36;30;38,4;36,5;.;38,5;66;4;.;62
1046 Sirdal;1046;Sirdal;41,1;38,1;44,2;24;12;12;41,1;:;:;:;24;:;:;:
1101 Eigersund;1101;Eigersund;38,2;36,6;39,5;186;81;105;38,2;31;39,6;38,8;186;14;3;169
1102 Sandnes;1102;Sandnes;40,4;38,4;42,5;910;468;442;40,4;35,7;40,3;40,8;910;79;44;787
1103 Stavanger;1103;Stavanger;41,3;39,6;43,2;1440;747;693;41,3;35,4;39,7;42;1440;121;112;1207
1106 Haugesund;1106;Haugesund;40,1;38,1;42,3;385;203;182;40,1;37,1;36,8;40,5;385;35;9;341
1111 Sokndal;1111;Sokndal;37;34,5;40,8;45;27;18;37;:;:;:;45;:;:;:
1112 Lund;1112;Lund;37,9;33,4;42,2;49;24;25;37,9;37,2;.;38;49;5;.;44
1114 Bjerkreim;1114;Bjerkreim;38,3;35,3;40,5;43;18;25;38,3;:;:;:;43;:;:;:
1119 Hå;1119;Hå;41,2;39,1;42,9;276;124;152;41,2;:;:;41,5;276;:;:;253
1120 Klepp;1120;Klepp;40,2;38,5;42,2;276;146;130;40,2;39,3;37,6;40,4;276;19;6;251
1121 Time;1121;Time;42,3;40,9;43,9;226;123;103;42,3;38,1;35,3;42,7;226;17;3;206
1122 Gjesdal;1122;Gjesdal;39,7;38;41,8;147;82;65;39,7;:;:;40,5;147;:;:;132
1124 Sola;1124;Sola;42,8;41,3;44,3;306;147;159;42,8;39,2;44,6;43;306;16;9;281
1127 Randaberg;1127;Randaberg;39,8;37,5;43,4;152;92;60;39,8;:;:;40,7;152;:;:;138
1129 Forsand;1129;Forsand;39,5;39,4;39,5;27;15;12;39,5;:;:;:;27;:;:;:
1130 Strand;1130;Strand;39,5;37,1;41,9;163;82;81;39,5;35,5;.;39,7;163;9;.;154
1133 Hjelmeland;1133;Hjelmeland;39,8;38,2;42;37;22;15;39,8;37,2;.;40,1;37;4;.;33
1134 Suldal;1134;Suldal;41,5;39,3;43,1;57;24;33;41,5;:;:;:;57;:;:;:
1135 Sauda;1135;Sauda;39,8;37,1;41,7;55;23;32;39,8;:;:;:;55;:;:;:
1141 Finnøy;1141;Finnøy;39,3;39,7;38,6;41;24;17;39,3;.;.;39,3;41;.;.;41
1142 Rennesøy;1142;Rennesøy;40,9;38,5;43,4;69;35;34;40,9;:;:;40,9;69;:;:;60
1144 Kvitsøy;1144;Kvitsøy;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1145 Bokn;1145;Bokn;43,6;44,2;42,8;14;8;6;43,6;.;.;43,6;14;.;.;14
1146 Tysvær;1146;Tysvær;37,5;34,7;40,9;160;88;72;37,5;:;:;38;160;:;:;153
1149 Karmøy;1149;Karmøy;38,4;35,8;40,8;592;279;313;38,4;33;36,5;38,8;592;37;6;549
1151 Utsira;1151;Utsira;:;:;:;:;:;:;47,4;.;.;47,4;4;.;.;4
1160 Vindafjord;1160;Vindafjord;39,4;37;42,2;115;62;53;39,4;:;:;40,2;115;:;:;109
1201 Bergen;1201;Bergen;41,7;39,7;43,6;2849;1420;1429;41,7;35,5;40;42,2;2849;180;107;2562
1211 Etne;1211;Etne;38,9;36,8;41,1;62;31;31;38,9;36,2;.;39,3;62;8;.;54
1216 Sveio;1216;Sveio;40,6;38,3;43;77;39;38;40,6;40,4;.;40,6;77;5;.;72
1219 Bømlo;1219;Bømlo;39,6;38,5;40,8;175;94;81;39,6;:;:;40,1;175;:;:;160
1221 Stord;1221;Stord;38,7;37;40,5;247;127;120;38,7;33,7;34,4;39;247;11;3;233
1222 Fitjar;1222;Fitjar;39,3;37,5;40,9;54;26;28;39,3;:;:;:;54;:;:;:
1223 Tysnes;1223;Tysnes;39,7;37,8;42,8;37;23;14;39,7;:;:;:;37;:;:;:
1224 Kvinnherad;1224;Kvinnherad;39,3;37,3;41,5;182;94;88;39,3;:;:;39,7;182;:;:;175
1227 Jondal;1227;Jondal;40,5;38,3;42,6;14;7;7;40,5;.;.;40,5;14;.;.;14
