Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere
Nedbrytninger;;;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16-25;aldersinndeling_etter_grskole.26-66;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16-25;aldersinndeling_etter_grskole.26-66;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16-25;aldersinndeling_etter_grskole.26-66;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16-25;aldersinndeling_etter_grskole.26-66;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16-25;aldersinndeling_etter_grskole.26-66;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16-25;aldersinndeling_etter_grskole.26-66
Alder;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0814 Bamble;814;Bamble;2112;296;1816;1830;236;1594;282;60;222;22,4;15,1;24,2;21;13,1;23,1;37,8;39,7;37,3
0815 Kragerø;815;Kragerø;1745;201;1544;1487;153;1334;258;48;210;24,8;15,3;27;23,5;12,7;26;35,9;41;34,9
0817 Drangedal;817;Drangedal;563;58;505;493;52;441;70;6;64;21,5;12,5;23,4;20,6;12;22,5;31;20,7;32,5
0819 Nome;819;Nome;954;100;854;784;71;713;170;29;141;22,3;12,4;24,5;20,7;10;23,1;34,4;29,3;35,7
0821 Bø (Telemark);821;Bø (Telem.);756;125;631;595;78;517;161;47;114;19,6;13,3;21,6;17,8;10,3;20,1;30,8;25,7;33,6
0822 Sauherad;822;Sauherad;587;74;513;494;53;441;93;21;72;20,8;13,7;22,5;19,7;11,1;21,7;30;32,3;29,4
0826 Tinn;826;Tinn;790;77;713;648;48;600;142;29;113;20,6;11,7;22,5;19,4;8,1;21,8;29,1;42;27
0827 Hjartdal;827;Hjartdal;183;23;160;156;17;139;27;6;21;18;11,2;19,8;16,3;8,6;18,2;50;75;45,7
0828 Seljord;828;Seljord;362;44;318;315;36;279;47;8;39;19,1;13,1;20,5;18,4;11,5;19,9;26,7;34,8;25,5
0829 Kviteseid;829;Kviteseid;260;27;233;225;21;204;35;6;29;16,1;9,2;17,7;15,4;7,5;17,3;23;40;21,2
0830 Nissedal;830;Nissedal;161;21;140;140;18;122;21; : ; : ;16,8;11,9;17,9;16,2;10,8;17,4;23,3; : ; : 
0831 Fyresdal;831;Fyresdal;141;17;124;108;13;95;33;4;29;17;9,6;19;14,8;7,9;16,8;33;28,6;33,7
0833 Tokke;833;Tokke;217;23;194;200;21;179;17; : ; : ;15,1;8,4;16,7;14,9;8,3;16,5;17,5; : ; : 
0834 Vinje;834;Vinje;307;28;279;259;23;236;48;5;43;12,6;5,8;14,3;11,7;5,1;13,4;20,5;13,9;21,7
0901 Risør;901;Risør;1094;144;950;914;107;807;180;37;143;24,3;16,4;26,2;22,6;13,6;24,7;39,4;40,7;39,1
