Kommune nr & navn;kommune_nr;"Kommune
navn";innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
1151 Utsira;1151;Utsira;12;3;3;6;0;6;3;3;0;0;6;0;0;6;0
1160 Vindafjord;1160;Vindafjord;916;522;94;292;8;518;383;37;93;5;398;139;57;199;3
1201 Bergen;1201;Bergen;28 238;10491;9006;8457;284;15921;7997;4893;2892;139;12317;2494;4113;5565;145
1211 Etne;1211;Etne;333;216;26;85;6;200;159;13;25;3;133;57;13;60;3
1216 Sveio;1216;Sveio;385;166;106;113;0;227;133;63;31;0;158;33;43;82;0
1219 Bømlo;1219;Bømlo;906;300;273;317;16;470;225;156;79;10;436;75;117;238;6
1221 Stord;1221;Stord;1 449;599;401;436;13;814;481;207;122;4;635;118;194;314;9
1222 Fitjar;1222;Fitjar;149;78;6;62;3;77;62;3;12;0;72;16;3;50;3
1223 Tysnes;1223;Tysnes;158;74;6;75;3;75;49;3;20;3;83;25;3;55;0
1224 Kvinnherad;1224;Kvinnherad;683;221;176;278;8;335;168;91;73;3;348;53;85;205;5
1227 Jondal;1227;Jondal;57;31;0;26;0;33;22;0;11;0;24;9;0;15;0
1228 Odda;1228;Odda;494;157;117;213;7;239;109;68;58;4;255;48;49;155;3
1231 Ullensvang;1231;Ullensvang;254;90;89;72;3;130;50;53;27;0;124;40;36;45;3
1232 Eidfjord;1232;Eidfjord;80;37;8;35;0;37;19;4;14;0;43;18;4;21;0
1233 Ulvik;1233;Ulvik;83;34;3;46;0;47;23;0;24;0;36;11;3;22;0
1234 Granvin;1234;Granvin;43;18;8;17;0;21;12;3;6;0;22;6;5;11;0
1235 Voss;1235;Voss;718;254;281;171;12;410;183;164;59;4;308;71;117;112;8
1238 Kvam;1238;Kvam;744;332;186;207;19;439;256;94;73;16;305;76;92;134;3
1241 Fusa;1241;Fusa;211;105;8;95;3;113;85;4;21;3;98;20;4;74;0
1242 Samnanger;1242;Samnanger;125;34;34;57;0;60;28;17;15;0;65;6;17;42;0
1243 Os;1243;Os (Hord.);1 502;668;235;578;21;811;522;114;169;6;691;146;121;409;15
1244 Austevoll;1244;Austevoll;436;299;13;113;11;255;203;6;39;7;181;96;7;74;4
