Kommune nr & navn;kommune_nr;"Kommune
navn";vreg_2.1;vreg_2.2;vreg_2.1;vreg_2.2;vreg_2.1;vreg_2.2;vreg_5.europa;vreg_5.asia;vreg_5.afrika;vreg_5.nord_amerika_oseania;vreg_5.sor_og_mellom_amerika;vreg_9.norden;vreg_9.vest_europa;vreg_9.eu_ost_europa;vreg_9.ost_europa_ellers;vreg_9.nord_amerika_oseania;vreg_9.asia;vreg_9.afrika;vreg_9.sor_og_mellom_amerika
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
1001 Kristiansand;1001;Kristiansand;4162;7186;2371;3555;1791;3631;5372;3558;1376;253;788;1195;1041;1671;1465;253;3558;1376;788
1002 Mandal;1002;Mandal;697;780;388;329;309;451;783;363;213;55;63;146;198;298;141;55;363;213;63
1003 Farsund;1003;Farsund;393;326;201;140;192;186;444;134;59;53;29;95;158;87;104;53;134;59;29
1004 Flekkefjord;1004;Flekkefjord;527;345;281;159;246;186;586;178;66;31;11;76;180;240;90;31;178;66;11
1014 Vennesla;1014;Vennesla;573;515;344;221;229;294;642;300;60;25;61;109;166;273;94;25;300;60;61
1017 Songdalen;1017;Songdalen;353;410;198;191;155;219;443;167;112;17;24;66;90;180;107;17;167;112;24
1018 Sõgne;1018;Sõgne;462;383;268;172;194;211;523;181;76;27;38;92;117;226;88;27;181;76;38
1021 Marnardal;1021;Marnardal;109;83;68;39;41;44;126;34;25;3;5;8;39;56;23;3;34;25;5
1026 èseral;1026;èseral;63;34;38;17;25;17;61;33;0;3;0;5;32;24;0;3;33;0;0
1027 Audnedal;1027;Audnedal;86;23;42;10;44;13;86;13;6;4;0;11;20;51;4;4;13;6;0
1029 Lindesnes;1029;Lindesnes;295;166;160;60;135;106;309;109;0;34;8;33;109;119;48;34;109;0;8
1032 Lyngdal;1032;Lyngdal;350;456;185;192;165;264;519;169;53;25;40;47;102;176;194;25;169;53;40
1034 Hëgebostad;1034;Hëgebostad;85;28;45;9;40;19;89;6;14;4;0;8;15;58;8;4;6;14;0
1037 Kvinesdal;1037;Kvinesdal;243;230;128;103;115;127;255;127;56;24;11;37;113;69;36;24;127;56;11
1046 Sirdal;1046;Sirdal;133;48;76;17;57;31;141;23;10;0;6;17;34;81;9;0;23;10;6
1101 Eigersund;1101;Eigersund;877;658;573;288;304;370;926;466;94;28;21;144;166;540;76;28;466;94;21
1102 Sandnes;1102;Sandnes;5929;5579;3578;2640;2351;2939;6867;3277;807;232;325;863;1147;3689;1168;232;3277;807;325
1103 Stavanger;1103;Stavanger;12061;11504;7294;5710;4767;5794;12773;6452;2221;1017;1100;2262;4138;4637;1736;1017;6452;2221;1100
1106 Haugesund;1106;Haugesund;2755;2235;1816;1047;939;1188;3254;1117;388;67;164;458;387;1843;566;67;1117;388;164
1111 Sokndal;1111;Sokndal;100;65;55;17;45;48;108;42;5;9;0;11;21;59;17;9;42;5;0
1112 Lund;1112;Lund;121;131;61;51;60;80;133;84;29;4;3;32;33;52;16;4;84;29;3
1114 Bjerkreim;1114;Bjerkreim;191;52;113;18;78;34;190;34;0;10;9;16;65;99;10;10;34;0;9
1119 HÜ;1119;HÜ;1612;655;995;301;617;354;1675;372;154;20;46;89;218;1284;84;20;372;154;46
1120 Klepp;1120;Klepp;1375;722;850;300;525;422;1514;344;177;28;32;171;234;941;168;28;344;177;32
1121 Time;1121;Time;900;744;560;322;340;422;1056;348;173;22;45;121;192;565;178;22;348;173;45
1122 Gjesdal;1122;Gjesdal;861;352;518;146;343;206;924;161;88;26;14;152;193;487;92;26;161;88;14
1124 Sola;1124;Sola;2238;1503;1305;658;933;845;2259;815;289;215;163;289;706;1026;238;215;815;289;163
1127 Randaberg;1127;Randaberg;627;373;369;169;258;204;673;149;121;30;27;108;149;340;76;30;149;121;27
1129 Forsand;1129;Forsand;81;20;51;5;30;15;83;8;5;3;3;6;32;40;5;3;8;5;3
1130 Strand;1130;Strand;584;483;331;197;253;286;647;214;176;10;20;96;172;306;73;10;214;176;20
1133 Hjelmeland;1133;Hjelmeland;286;143;154;67;132;76;290;65;62;6;6;22;76;182;10;6;65;62;6
1134 Suldal;1134;Suldal;217;131;111;59;106;72;245;38;56;6;3;38;90;83;34;6;38;56;3
1135 Sauda;1135;Sauda;183;147;105;64;78;83;188;68;65;4;5;21;59;99;9;4;68;65;5
1141 Finnõy;1141;Finnõy;321;32;198;8;123;24;323;21;3;3;4;13;48;257;5;3;21;3;4
1142 Rennesõy;1142;Rennesõy;383;108;226;35;157;73;397;40;33;5;16;66;115;197;19;5;40;33;16
1144 Kvitsõy;1144;Kvitsõy;27;14;12;6;15;8;32;6;0;0;3;3;16;7;6;0;6;0;3
1145 Bokn;1145;Bokn;66;15;38;6;28;9;65;8;3;0;5;4;12;49;0;0;8;3;5
1146 Tysvër;1146;Tysvër;421;328;272;132;149;196;460;222;33;13;21;39;91;277;53;13;222;33;21
1149 Karmõy;1149;Karmõy;2120;1327;1294;491;826;836;2224;720;267;77;159;384;408;1251;181;77;720;267;159
1151 Utsira;1151;Utsira;7;10;4;3;3;7;7;8;0;0;0;0;4;3;0;0;8;0;0
