Kommune nr & navn;kommune_nr;"Kommune
navn";botid_3.alle;botid_3.alle;botid_3.alle;botid_3.0-4;botid_3.0-4;botid_3.0-4;botid_3.5+;botid_3.5+;botid_3.5+;botid_3.alle;botid_3.alle;botid_3.alle;botid_3.0-4;botid_3.0-4;botid_3.0-4;botid_3.5+;botid_3.5+;botid_3.5+
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2
Alder;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0928 Birkenes;928;Birkenes;220;126;94;55;36;19;165;90;75;67,5;77,8;57,3;47,4;73,5;28,4;78,6;79,6;77,3
0929 Åmli;929;Åmli;96;64;32;37; : ; : ;59;29;30;70,1;80;56,1;63,8; : ; : ;74,7;78,4;71,4
0935 Iveland;935;Iveland;49;35;14;10;6;4;39;29;10;68,1;83,3;46,7;43,5;66,7;28,6;79,6;87,9;62,5
0937 Evje og Hornnes;937;Evje og Hornnes;165;73;92;41;20;21;124;53;71;61,8;69,5;56,8;51,9;62,5;44,7;66;72,6;61,7
0938 Bygland;938;Bygland;34;22;12;5; : ; : ;29;19;10;64,2;84,6;44,4;27,8;75;14,3;82,9;86,4;76,9
0940 Valle;940;Valle;49;28;21;18;9;9;31;19;12;68,1;82,4;55,3;48,6;81,8;34,6;88,6;82,6;100
0941 Bykle;941;Bykle;92;78;14;34;30;4;58;48;10;77,3;86,7;48,3;68;83,3;28,6;84,1;88,9;66,7
1001 Kristiansand;1001;Kristiansand;5722;2474;3248;1590;1084;506;4132;1390;2742;62,8;74,7;56;56,3;72,4;38,2;65,8;76,7;61,3
1002 Mandal;1002;Mandal;624;367;257;201;145;56;423;222;201;56,9;71,7;44;45,1;72,9;22,7;65,1;70,9;59,6
1003 Farsund;1003;Farsund;311;199;112;102;73;29;209;126;83;63;74,8;49,1;50,2;72,3;28,4;71,8;76,4;65,9
