Kommune nr & navn;kommune_nr;"Kommune
navn";botid_5.0-4;botid_5.5-9;botid_5.10+;botid_5.0-4;botid_5.5-9;botid_5.10+
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent
1129 Forsand;1129;Forsand;19;23;18;73,1;92;90
1130 Strand;1130;Strand;229;153;196;59;81,4;77,8
1133 Hjelmeland;1133;Hjelmeland;141;62;54;75,4;81,6;81,8
1134 Suldal;1134;Suldal;90;49;52;69,8;92,5;74,3
1135 Sauda;1135;Sauda;73;55;40;59,8;85,9;81,6
1141 Finnøy;1141;Finnøy;153;85;34;86,4;89,5;85
1142 Rennesøy;1142;Rennesøy;147;89;58;68,1;83,2;79,5
1144 Kvitsøy;1144;Kvitsøy; : ; : ; : ; : ; : ; : 
1145 Bokn;1145;Bokn; : ; : ; : ; : ; : ; : 
1146 Tysvær;1146;Tysvær;171;132;92;59,4;84,1;66,2
1149 Karmøy;1149;Karmøy;649;553;616;58,6;75,2;68,9
1151 Utsira;1151;Utsira; : ; : ; : ; : ; : ; : 
1160 Vindafjord;1160;Vindafjord;358;131;82;69,4;72,4;78,1
1201 Bergen;1201;Bergen;8582;4923;7257;62,3;75,4;69,5
1211 Etne;1211;Etne;141;68;46;74,6;88,3;76,7
1216 Sveio;1216;Sveio;112;72;60;61,2;81,8;76,9
1219 Bømlo;1219;Bømlo;257;160;137;63,9;78;69,5
1221 Stord;1221;Stord;408;273;279;62,8;72,6;72,5
1222 Fitjar;1222;Fitjar;62;25;24;76,5;80,6;72,7
1223 Tysnes;1223;Tysnes;48;48;25;66,7;78,7;83,3
1224 Kvinnherad;1224;Kvinnherad;206;106;139;61,1;82,2;72,4
1227 Jondal;1227;Jondal; : ; : ; : ; : ; : ; : 
1228 Odda;1228;Odda;150;86;116;63,8;79,6;85,9
1231 Ullensvang;1231;Ullensvang;86;34;35;61;85;81,4
1232 Eidfjord;1232;Eidfjord; : ; : ; : ; : ; : ; : 
1233 Ulvik;1233;Ulvik;35;9;24;70;75;92,3
1234 Granvin;1234;Granvin; : ; : ; : ; : ; : ; : 
1235 Voss;1235;Voss;228;112;141;60,8;73,7;73,1
1238 Kvam;1238;Kvam;240;126;67;61,2;73,7;70,5
1241 Fusa;1241;Fusa;64;46;37;73,6;74,2;75,5
1242 Samnanger;1242;Samnanger;24;27;31;54,5;77,1;77,5
1243 Os (Hord.);1243;Os (Hord.);428;332;276;66,7;80,2;71,1
1244 Austevoll;1244;Austevoll;251;46;47;78;86,8;78,3
1245 Sund;1245;Sund;138;122;98;63,6;80,8;74,2
1246 Fjell;1246;Fjell;473;299;355;68,8;78,7;74,1
1247 Askøy;1247;Askøy;433;370;342;65,3;74,6;73,2
1251 Vaksdal;1251;Vaksdal;55;55;33;56,1;77,5;73,3
1252 Modalen;1252;Modalen; : ; : ; : ; : ; : ; : 
1253 Osterøy;1253;Osterøy;124;146;63;63,9;80,2;70,8
1256 Meland;1256;Meland;159;91;79;67,4;85;75,2
1259 Øygarden;1259;Øygarden;98;67;70;60,1;80,7;74,5
1260 Radøy;1260;Radøy;129;117;33;70,1;80,7;73,3
1263 Lindås;1263;Lindås;286;209;118;67;78,3;74,2
1264 Austrheim;1264;Austrheim;108;75;25;67,1;89,3;78,1
1265 Fedje;1265;Fedje; : ; : ; : ; : ; : ; : 
1266 Masfjorden;1266;Masfjorden; : ; : ; : ; : ; : ; : 
1401 Flora;1401;Flora;283;129;232;54,4;75,9;78,1
1411 Gulen;1411;Gulen;88;21;11;81,5;87,5;64,7
1412 Solund;1412;Solund;26;18;7;72,2;90;77,8
1413 Hyllestad;1413;Hyllestad;28;33;26;65,1;97,1;81,3
1416 Høyanger;1416;Høyanger;66;42;73;67,3;73,7;83,9
1417 Vik;1417;Vik;66;50;21;71,7;89,3;77,8
1418 Balestrand;1418;Balestrand;49;16;54;75,4;88,9;91,5
1419 Leikanger;1419;Leikanger;36;22;16;70,6;95,7;80
1420 Sogndal;1420;Sogndal;194;67;83;51,9;76,1;85,6
1421 Aurland;1421;Aurland;57;11;26;72,2;78,6;81,3
1422 Lærdal;1422;Lærdal;40;11;41;75,5;84,6;82
1424 Årdal;1424;Årdal;125;80;70;61;73,4;70,7
1426 Luster;1426;Luster;88;39;52;71;88,6;82,5
1428 Askvoll;1428;Askvoll;37;23;23;64,9;79,3;67,6
1429 Fjaler;1429;Fjaler;29;28;42;36,3;75,7;76,4
1430 Gaular;1430;Gaular;72;27;23;80;90;85,2
1431 Jølster;1431;Jølster;75;18;23;52,4;72;82,1
1432 Førde;1432;Førde;301;132;178;65,7;82,5;78,8
1433 Naustdal;1433;Naustdal;51;18;24;83,6;81,8;82,8
1438 Bremanger;1438;Bremanger;128;73;64;57,7;80,2;78
1439 Vågsøy;1439;Vågsøy;183;55;123;65,6;75,3;81,5
1441 Selje;1441;Selje;35;30;37;63,6;83,3;88,1
1443 Eid;1443;Eid;101;45;73;66,9;78,9;70,9
1444 Hornindal;1444;Hornindal;27;11;15;90;78,6;88,2
1445 Gloppen;1445;Gloppen;109;60;38;79,6;83,3;74,5
1449 Stryn;1449;Stryn;294;187;116;66,8;85;78,4
