"aar","fylke_id","tilskudd_til_kommuner","enhet","tabellvariabel","tabell_navn","kommune_id","5","samf_tilsk","naringsregion_id"
"2011","NULL","inttilsk_1","kroner","847500.00","tilskudd","0111","NULL","NULL","NULL"
"2011","NULL","inttilsk_2","kroner","4222500.00","tilskudd","0111",,"NULL","NULL"
"2011","NULL","funkhem","kroner","0.00","tilskudd","0111","NULL","NULL","NULL"
"2011","NULL","norsk","kroner","0.00","tilskudd","0111","NULL",,"NULL"
"2011","NULL","em_tilsk","kroner","2904146.00","tilskudd","0111","NULL","NULL","NULL"
"2011","NULL","barnehage_tilsk","kroner","0.00","tilskudd","0111","NULL","NULL","NULL"
"2011","NULL","eldre_tilsk","kroner","0.00","tilskudd","0111","NULL","NULL","NULL"
"2011","NULL","skole_tilsk","kroner","31500.00","tilskudd","0111","NULL","NULL","NULL"
"2011","NULL","totalt","kroner","610500.00","tilskudd","0118","NULL","NULL","NULL"
"2011","NULL","inttilsk_1","kroner","600000.00","tilskudd","0118",,"NULL","NULL"
"2011","NULL","inttilsk_1","kroner","0.00","tilskudd","0118","NULL","NULL","NULL"
"2011","NULL","inttilsk_2","kroner","600000.00","tilskudd","0118",,"NULL","NULL"
"2011","NULL","funkhem","kroner","0.00","tilskudd","0118","NULL","NULL","NULL"
"2011","NULL","norsk","kroner","0.00","tilskudd","0118","NULL",,"NULL"
"2011","NULL","em_tilsk","kroner","0.00","tilskudd","0118","NULL","NULL","NULL"
"2011","NULL","barnehage_tilsk","kroner","0.00","tilskudd","0118","NULL","NULL","NULL"
"2011","NULL","eldre_tilsk","kroner","0.00","tilskudd","0118","NULL","NULL","NULL"
"2011","NULL","skole_tilsk","kroner","10500.00","tilskudd","0118","NULL","NULL","NULL"
"2011","NULL","totalt","kroner","1353500.00","tilskudd","0119","NULL","NULL","NULL"
"2011","NULL","inttilsk_1","kroner","1343000.00","tilskudd","0119",,"NULL","NULL"
"2011","NULL","inttilsk_1","kroner","400000.00","tilskudd","0119","NULL","NULL","NULL"
"2011","NULL","inttilsk_2","kroner","943000.00","tilskudd","0119",,"NULL","NULL"
"2011","NULL","funkhem","kroner","0.00","tilskudd","0119","NULL","NULL","NULL"
"2011","NULL","norsk","kroner","0.00","tilskudd","0119","NULL",,"NULL"
"2011","NULL","em_tilsk","kroner","0.00","tilskudd","0119","NULL","NULL","NULL"
"2011","NULL","barnehage_tilsk","kroner","0.00","tilskudd","0119","NULL","NULL","NULL"
"2011","NULL","eldre_tilsk","kroner","0.00","tilskudd","0119","NULL","NULL","NULL"
"2011","NULL","skole_tilsk","kroner","10500.00","tilskudd","0119","NULL","NULL","NULL"
"2011","NULL","totalt","kroner","0.00","tilskudd","0121","NULL","NULL","NULL"
"2011","NULL","inttilsk_1","kroner","0.00","tilskudd","0121",,"NULL","NULL"
"2011","NULL","inttilsk_1","kroner","0.00","tilskudd","0121","NULL","NULL","NULL"
"2011","NULL","inttilsk_2","kroner","0.00","tilskudd","0121",,"NULL","NULL"
"2011","NULL","funkhem","kroner","0.00","tilskudd","0121","NULL","NULL","NULL"
"2011","NULL","norsk","kroner","0.00","tilskudd","0121","NULL",,"NULL"
"2011","NULL","em_tilsk","kroner","0.00","tilskudd","0121","NULL","NULL","NULL"
"2011","NULL","barnehage_tilsk","kroner","0.00","tilskudd","0121","NULL","NULL","NULL"
"2011","NULL","eldre_tilsk","kroner","0.00","tilskudd","0121","NULL","NULL","NULL"
"2011","NULL","skole_tilsk","kroner","0.00","tilskudd","0121","NULL","NULL","NULL"
"2011","NULL","totalt","kroner","5567668.00","tilskudd","0122","NULL","NULL","NULL"
"2011","NULL","inttilsk_1","kroner","3399000.00","tilskudd","0122",,"NULL","NULL"
"2011","NULL","inttilsk_1","kroner","600000.00","tilskudd","0122","NULL","NULL","NULL"
"2011","NULL","inttilsk_2","kroner","2799000.00","tilskudd","0122",,"NULL","NULL"
"2011","NULL","funkhem","kroner","1510948.00","tilskudd","0122","NULL","NULL","NULL"
"2011","NULL","norsk","kroner","0.00","tilskudd","0122","NULL",,"NULL"
"2011","NULL","em_tilsk","kroner","615720.00","tilskudd","0122","NULL","NULL","NULL"
"2011","NULL","barnehage_tilsk","kroner","0.00","tilskudd","0122","NULL","NULL","NULL"
"2011","NULL","eldre_tilsk","kroner","0.00","tilskudd","0122","NULL","NULL","NULL"
"2011","NULL","skole_tilsk","kroner","42000.00","tilskudd","0122","NULL","NULL","NULL"
"2011","NULL","totalt","kroner","3302144.00","tilskudd","0123","NULL","NULL","NULL"
"2011","NULL","inttilsk_1","kroner","3147500.00","tilskudd","0123",,"NULL","NULL"
"2011","NULL","inttilsk_1","kroner","730000.00","tilskudd","0123","NULL","NULL","NULL"
"2011","NULL","inttilsk_2","kroner","2417500.00","tilskudd","0123",,"NULL","NULL"
"2011","NULL","funkhem","kroner","0.00","tilskudd","0123","NULL","NULL","NULL"
"2011","NULL","norsk","kroner","0.00","tilskudd","0123","NULL",,"NULL"
"2011","NULL","em_tilsk","kroner","123144.00","tilskudd","0123","NULL","NULL","NULL"
"2011","NULL","barnehage_tilsk","kroner","0.00","tilskudd","0123","NULL","NULL","NULL"
"2011","NULL","eldre_tilsk","kroner","0.00","tilskudd","0123","NULL","NULL","NULL"
"2011","NULL","skole_tilsk","kroner","31500.00","tilskudd","0123","NULL","NULL","NULL"
"2011","NULL","totalt","kroner","7862028.00","tilskudd","0124","NULL","NULL","NULL"
"2011","NULL","inttilsk_1","kroner","7242500.00","tilskudd","0124",,"NULL","NULL"
"2011","NULL","inttilsk_1","kroner","1100000.00","tilskudd","0124","NULL","NULL","NULL"
"2011","NULL","inttilsk_2","kroner","6142500.00","tilskudd","0124",,"NULL","NULL"
