Kommune nr & navn;kommune_nr;"Kommune
navn";botid_5.alle;botid_5.0_4;botid_5.5_9;botid_5.10+;botid_5.uoppgitt;botid_5.alle;botid_5.0_4;botid_5.5_9;botid_5.10+;botid_5.uoppgitt;botid_5.alle;botid_5.0_4;botid_5.5_9;botid_5.10+;botid_5.uoppgitt
Nedbrytninger;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.2;vreg_3.2;vreg_3.2;vreg_3.2;vreg_3.2
Todelt verdensregion;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
1224 Kvinnherad;1224;Kvinnherad;880;479;161;240;0;530;326;83;121;0;350;153;78;119;0
1227 Jondal;1227;Jondal;64;37;17;10;0;49;26;17;6;0;15;11;0;4;0
1228 Odda;1228;Odda;596;289;135;172;0;325;160;88;77;0;271;129;47;95;0
1231 Ullensvang;1231;Ullensvang;307;198;54;55;0;165;106;29;30;0;142;92;25;25;0
1232 Eidfjord;1232;Eidfjord;93;51;24;18;0;69;39;18;12;0;24;12;6;6;0
1233 Ulvik;1233;Ulvik;121;68;16;37;0;96;56;10;30;0;25;12;6;7;0
1234 Granvin;1234;Granvin;57;24;16;17;0;49;20;16;13;0;8;4;0;4;0
1235 Voss;1235;Voss;910;477;187;246;0;519;285;89;145;0;391;192;98;101;0
1238 Kvam;1238;Kvam;845;500;214;131;0;511;314;123;74;0;334;186;91;57;0
1241 Fusa;1241;Fusa;237;110;71;56;0;175;87;55;33;0;62;23;16;23;0
1242 Samnanger;1242;Samnanger;156;58;50;48;0;94;36;40;18;0;62;22;10;30;0
1243 Os (Hord.);1243;Os (Hord.);1735;833;468;434;0;1224;670;353;201;0;511;163;115;233;0
1244 Austevoll;1244;Austevoll;507;373;65;69;0;435;338;46;51;0;72;35;19;18;0
1245 Sund;1245;Sund;622;260;190;172;0;372;174;120;78;0;250;86;70;94;0
1246 Fjell;1246;Fjell;1931;923;453;555;0;1191;667;293;231;0;740;256;160;324;0
1247 Askøy;1247;Askøy;2025;894;587;544;0;1230;601;374;255;0;795;293;213;289;0
1251 Vaksdal;1251;Vaksdal;270;125;87;58;0;157;56;68;33;0;113;69;19;25;0
1252 Modalen;1252;Modalen;23;9;5;9;0;17;6;5;6;0;6;3;0;3;0
1253 Osterøy;1253;Osterøy;584;258;228;98;0;471;212;206;53;0;113;46;22;45;0
1256 Meland;1256;Meland;583;315;147;121;0;372;210;103;59;0;211;105;44;62;0
1259 Øygarden;1259;Øygarden;416;212;102;102;0;214;112;60;42;0;202;100;42;60;0
1260 Radøy;1260;Radøy;462;229;183;50;0;359;175;154;30;0;103;54;29;20;0
1263 Lindås;1263;Lindås;1051;539;322;190;0;711;402;203;106;0;340;137;119;84;0
1264 Austrheim;1264;Austrheim;326;187;98;41;0;252;153;77;22;0;74;34;21;19;0
1265 Fedje;1265;Fedje;30;9;10;11;0;24;6;10;8;0;6;3;0;3;0
1266 Masfjorden;1266;Masfjorden;57;31;6;20;0;42;25;3;14;0;15;6;3;6;0
1401 Flora;1401;Flora;1234;668;230;336;0;587;346;115;126;0;647;322;115;210;0
1411 Gulen;1411;Gulen;184;132;31;21;0;137;106;22;9;0;47;26;9;12;0
1412 Solund;1412;Solund;76;42;25;9;0;61;32;20;9;0;15;10;5;0;0
1413 Hyllestad;1413;Hyllestad;127;53;40;34;0;108;44;37;27;0;19;9;3;7;0
1416 Høyanger;1416;Høyanger;329;156;78;95;0;165;70;53;42;0;164;86;25;53;0
1417 Vik;1417;Vik;217;114;67;36;0;177;100;57;20;0;40;14;10;16;0
1418 Balestrand;1418;Balestrand;184;87;22;75;0;127;61;14;52;0;57;26;8;23;0
1419 Leikanger;1419;Leikanger;122;71;28;23;0;76;36;22;18;0;46;35;6;5;0
1420 Sogndal;1420;Sogndal;670;451;104;115;0;344;212;66;66;0;326;239;38;49;0
1421 Aurland;1421;Aurland;148;96;19;33;0;129;90;13;26;0;19;6;6;7;0
1422 Lærdal;1422;Lærdal;142;65;17;60;0;109;61;11;37;0;33;4;6;23;0
1424 Årdal;1424;Årdal;515;276;122;117;0;311;167;97;47;0;204;109;25;70;0
1426 Luster;1426;Luster;279;149;55;75;0;210;117;43;50;0;69;32;12;25;0
1428 Askvoll;1428;Askvoll;165;78;42;45;0;118;63;33;22;0;47;15;9;23;0
