kommunenr.kommunenavn;kommune_nr;"Kommune
navn";tilskudd_til_kommuner.totalt;tilskudd_til_kommuner.inttilsk_1.5;tilskudd_til_kommuner.inttilsk_1;tilskudd_til_kommuner.inttilsk_2.5;tilskudd_til_kommuner.funkhem;tilskudd_til_kommuner.norsk.samf_tilsk;tilskudd_til_kommuner.em_tilsk;tilskudd_til_kommuner.barnehage_tilsk;tilskudd_til_kommuner.eldre_tilsk;tilskudd_til_kommuner.skole_tilsk
;;;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner
0633 Nore og Uvdal;633;Nore og Uvdal;5027352,00;3990000,00;2040000,00;1950000,00;0,00;0,00;985152,00;20700,00;0,00;31500,00
0701 Horten;701;Horten;22556297,00;15275400,00;5580000,00;9695400,00;2678237,00;0,00;4248660,00;62100,00;71400,00;220500,00
0702 Holmestrand;702;Holmestrand;6014740,00;4644300,00;742500,00;3901800,00;0,00;0,00;1338940,00;0,00;0,00;31500,00
0704 Tønsberg;704;Tønsberg;20568930,00;18028400,00;5035000,00;12993400,00;0,00;0,00;2206330,00;82800,00;0,00;251400,00
0706 Sandefjord;706;Sandefjord;18788408,00;17041500,00;2687500,00;14354000,00;413000,00;0,00;862008,00;41400,00;0,00;430500,00
0709 Larvik;709;Larvik;42635883,00;33173900,00;8897500,00;24276400,00;4197645,00;0,00;4553338,00;20700,00;0,00;690300,00
0711 Svelvik;711;Svelvik;2556000,00;2482500,00;150000,00;2332500,00;0,00;0,00;0,00;0,00;0,00;73500,00
0713 Sande (Vestf.);713;Sande (Vestf.);7901414,00;6622500,00;820000,00;5802500,00;967070,00;0,00;123144,00;20700,00;0,00;168000,00
0714 Hof;714;Hof;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0716 Re;716;Re (f.o.m. 2002);4813400,00;4709000,00;840000,00;3869000,00;0,00;0,00;0,00;41400,00;0,00;63000,00
0719 Andebu;719;Andebu;2477004,00;2025000,00;1195000,00;830000,00;0,00;0,00;431004,00;0,00;0,00;21000,00
0720 Stokke;720;Stokke;14042326,00;12538000,00;4342500,00;8195500,00;0,00;0,00;830026,00;103500,00;277400,00;293400,00
0722 Nøtterøy;722;Nøtterøy;9744510,00;7575000,00;1562500,00;6012500,00;260425,00;0,00;1867385,00;0,00;0,00;41700,00
0723 Tjøme;723;Tjøme;5337900,00;5232900,00;740000,00;4492900,00;0,00;0,00;0,00;0,00;0,00;105000,00
0728 Lardal;728;Lardal;1452000,00;1389000,00;0,00;1389000,00;0,00;0,00;0,00;0,00;0,00;63000,00
0805 Porsgrunn;805;Porsgrunn;26517999,00;23217500,00;5785000,00;17432500,00;2238825,00;0,00;790174,00;41400,00;0,00;230100,00
0806 Skien;806;Skien;81655342,00;72005375,00;24582500,00;47422875,00;1991146,00;0,00;6043421,00;289800,00;412100,00;913500,00
0807 Notodden;807;Notodden;15028335,00;12865000,00;5982500,00;6882500,00;730800,00;0,00;1178635,00;20700,00;138700,00;94500,00
0811 Siljan;811;Siljan;4483000,00;4315000,00;970000,00;3345000,00;0,00;0,00;0,00;0,00;0,00;168000,00
0814 Bamble;814;Bamble;24249276,00;22098000,00;5822500,00;16275500,00;0,00;0,00;1680576,00;124200,00;0,00;346500,00
0815 Kragerø;815;Kragerø;24696039,00;21427000,00;7012500,00;14414500,00;1252414,00;0,00;1640425,00;124200,00;0,00;252000,00
0817 Drangedal;817;Drangedal;6601500,00;6403500,00;2530000,00;3873500,00;0,00;0,00;0,00;103500,00;0,00;94500,00
0819 Nome;819;Nome;6574875,00;5901000,00;1430000,00;4471000,00;373131,00;0,00;123144,00;62100,00;0,00;115500,00
0821 Bø (Telemark);821;Bø (Telem.);15648416,00;10119600,00;2100000,00;8019600,00;2090400,00;0,00;3344216,00;20700,00;0,00;73500,00
0822 Sauherad;822;Sauherad;16549956,00;11677500,00;2240000,00;9437500,00;3245586,00;0,00;1385370,00;0,00;0,00;241500,00
0826 Tinn;826;Tinn;8599028,00;5468500,00;1130000,00;4338500,00;2246154,00;0,00;790174,00;20700,00;0,00;73500,00
0827 Hjartdal;827;Hjartdal;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0828 Seljord;828;Seljord;4604300,00;4293500,00;870000,00;3423500,00;195600,00;0,00;0,00;20700,00;0,00;94500,00
0829 Kviteseid;829;Kviteseid;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0830 Nissedal;830;Nissedal;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0831 Fyresdal;831;Fyresdal;3104500,00;3020500,00;0,00;3020500,00;0,00;0,00;0,00;0,00;0,00;84000,00
0833 Tokke;833;Tokke;70000,00;70000,00;0,00;70000,00;0,00;0,00;0,00;0,00;0,00;0,00
0834 Vinje;834;Vinje;2721044,00;2396500,00;1227500,00;1169000,00;0,00;0,00;123144,00;20700,00;138700,00;42000,00
0901 Risør;901;Risør;13818675,00;11515000,00;3135000,00;8380000,00;928356,00;0,00;1155719,00;62100,00;0,00;157500,00
0904 Grimstad;904;Grimstad;27741238,00;23194000,00;6657500,00;16536500,00;1768653,00;0,00;2380485,00;62100,00;0,00;336000,00
0906 Arendal;906;Arendal;50713216,00;40259825,00;10140000,00;30119825,00;4295671,00;0,00;5233620,00;144900,00;138700,00;640500,00
0911 Gjerstad;911;Gjerstad;7875476,00;6591500,00;400000,00;6191500,00;696900,00;0,00;492576,00;0,00;0,00;94500,00
0912 Vegårshei;912;Vegårshei;2732000,00;1937500,00;0,00;1937500,00;700000,00;0,00;0,00;0,00;0,00;94500,00
0914 Tvedestrand;914;Tvedestrand;7033000,00;6938500,00;1690000,00;5248500,00;0,00;0,00;0,00;0,00;0,00;94500,00
0919 Froland;919;Froland;1022024,00;1001500,00;500000,00;501500,00;0,00;0,00;20524,00;0,00;0,00;0,00
0926 Lillesand;926;Lillesand;9221469,00;8199000,00;1892500,00;6306500,00;0,00;0,00;844869,00;0,00;0,00;177600,00
0928 Birkenes;928;Birkenes;5593400,00;5499500,00;1057500,00;4442000,00;0,00;0,00;0,00;0,00;0,00;93900,00
0929 Åmli;929;Åmli;2194500,00;2142000,00;600000,00;1542000,00;0,00;0,00;0,00;0,00;0,00;52500,00
0935 Iveland;935;Iveland;1932000,00;1869000,00;0,00;1869000,00;0,00;0,00;0,00;0,00;0,00;63000,00
0937 Evje og Hornnes;937;Evje og Hornnes;8423728,00;6820000,00;150000,00;6670000,00;0,00;0,00;1477728,00;0,00;0,00;126000,00
0938 Bygland;938;Bygland;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0940 Valle;940;Valle;4091944,00;3874000,00;0,00;3874000,00;0,00;0,00;123444,00;0,00;0,00;94500,00
0941 Bykle;941;Bykle;1022200,00;970000,00;690000,00;280000,00;0,00;0,00;0,00;20700,00;0,00;31500,00
