kommune_nr-kommunenavn;kommune_nr;kommunenavn;spraak.alle;spraak.alle;spraak.minoritet;spraak.minoritet;spraak.ikke_minoritet;spraak.ikke_minoritet;spraak.alle;spraak.alle;spraak.alle
;;;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.kun_grunnskoleoppl;undervisning_grskole.kun_spesialund;undervisning_grskole.grskole_og_spesial
nedbrytninger;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.personer;enhet.personer
1422 Lærdal;1422;Lærdal;0;100;0;0;0;.;0;0;0
1424 Årdal;1424;Årdal;9;100;2;22,2;7;77,77777778;2;7;0
1426 Luster;1426;Luster;0;100;0;0;0;.;0;0;0
1428 Askvoll;1428;Askvoll;2;100;0;0;2;100;0;2;0
1429 Fjaler;1429;Fjaler;8;100;0;0;8;100;0;8;0
1430 Gaular;1430;Gaular;6;100;0;0;6;100;0;6;0
1431 Jølster;1431;Jølster;5;100;0;0;5;100;5;0;0
1432 Førde;1432;Førde;22;100;0;0;22;100;22;0;0
1433 Naustdal;1433;Naustdal;0;100;0;0;0;.;0;0;0
1438 Bremanger;1438;Bremanger;3;100;0;0;3;100;0;3;0
1439 Vågsøy;1439;Vågsøy;1;100;0;0;1;100;0;1;0
1441 Selje;1441;Selje;7;100;0;0;7;100;0;7;0
1443 Eid;1443;Eid;8;100;0;0;8;100;0;8;0
1444 Hornindal;1444;Hornindal;0;100;0;0;0;.;0;0;0
1445 Gloppen;1445;Gloppen;10;100;10;100;0;0;10;0;0
1449 Stryn;1449;Stryn;16;100;12;75;4;25;12;4;0
1502 Molde;1502;Molde;138;100;50;36,2;88;63,76811594;52;0;86
1504 Ålesund;1504;Ålesund;107;100;40;37,4;67;62,61682243;39;68;0
1505 Kristiansund;1505;Kristiansund;76;100;50;65,8;26;34,21052632;51;25;0
1511 Vanylven;1511;Vanylven;0;100;0;0;0;.;0;0;0
1514 Sande (M. og R.);1514;Sande (M. og R.);0;100;0;0;0;.;0;0;0
1515 Herøy (M. og R.);1515;Herøy (M. og R.);10;100;0;0;10;100;0;10;0
1516 Ulstein;1516;Ulstein;19;100;1;5,3;18;94,73684211;0;18;1
1517 Hareid;1517;Hareid;22;100;14;63,6;8;36,36363636;14;8;0
1519 Volda;1519;Volda;31;100;16;51,6;15;48,38709677;17;14;0
1520 Ørsta;1520;Ørsta;29;100;15;51,7;14;48,27586207;15;14;0
1523 Ørskog;1523;Ørskog;2;100;0;0;2;100;0;2;0
1524 Norddal;1524;Norddal;0;100;0;0;0;.;0;0;0
1525 Stranda;1525;Stranda;8;100;0;0;8;100;0;8;0
1526 Stordal;1526;Stordal;2;100;0;0;2;100;0;2;0
1528 Sykkylven;1528;Sykkylven;6;100;0;0;6;100;0;6;0
1529 Skodje;1529;Skodje;12;100;1;8,3;11;91,66666667;0;12;0
1531 Sula;1531;Sula;19;100;0;0;19;100;0;19;0
1532 Giske;1532;Giske;13;100;0;0;13;100;13;0;0
1534 Haram;1534;Haram;10;100;0;0;10;100;0;10;0
1535 Vestnes;1535;Vestnes;5;100;1;20;4;80;1;4;0
1539 Rauma;1539;Rauma;15;100;0;0;15;100;0;15;0
1543 Nesset;1543;Nesset;0;100;0;0;0;.;0;0;0
1545 Midsund;1545;Midsund;1;100;1;100;0;0;0;1;0
1546 Sandøy;1546;Sandøy;6;100;6;100;0;0;6;0;0
1547 Aukra;1547;Aukra;7;100;0;0;7;100;0;7;0
1548 Fræna;1548;Fræna;18;100;0;0;18;100;0;18;0
1551 Eide;1551;Eide;0;100;0;0;0;.;0;0;0
1554 Averøy;1554;Averøy;0;100;0;0;0;.;0;0;0
1557 Gjemnes;1557;Gjemnes;5;100;0;0;5;100;0;5;0
1560 Tingvoll;1560;Tingvoll;7;100;0;0;7;100;7;0;0
1563 Sunndal;1563;Sunndal;87;100;83;95,4;4;4,597701149;83;4;0
1566 Surnadal;1566;Surnadal;17;100;14;82,4;3;17,64705882;14;3;0
1567 Rindal;1567;Rindal;2;100;0;0;2;100;0;2;0
1571 Halsa;1571;Halsa;0;100;0;0;0;.;0;0;0
1573 Smøla;1573;Smøla;0;100;0;0;0;.;0;0;0
1576 Aure;1576;Aure;9;100;6;66,7;3;33,33333333;6;3;0
1601 Trondheim;1601;Trondheim;304;100;260;85,5;44;14,47368421;213;88;3
1612 Hemne;1612;Hemne;8;100;8;100;0;0;8;0;0
1613 Snillfjord;1613;Snillfjord;0;100;0;0;0;.;0;0;0
1617 Hitra;1617;Hitra;3;100;0;0;3;100;0;3;0
1620 Frøya;1620;Frøya;0;100;0;0;0;.;0;0;0
1621 Ørland;1621;Ørland;6;100;0;0;6;100;0;6;0
1622 Agdenes;1622;Agdenes;0;100;0;0;0;.;0;0;0
1624 Rissa;1624;Rissa;12;100;11;91,7;1;8,333333333;11;1;0
1627 Bjugn;1627;Bjugn;8;100;0;0;8;100;0;8;0
1630 Åfjord;1630;Åfjord;0;100;0;0;0;.;0;0;0
1632 Roan;1632;Roan;0;100;0;0;0;.;0;0;0
1633 Osen;1633;Osen;0;100;0;0;0;.;0;0;0
1634 Oppdal;1634;Oppdal;5;100;5;100;0;0;5;0;0
1635 Rennebu;1635;Rennebu;0;100;0;0;0;.;0;0;0
1636 Meldal;1636;Meldal;0;100;0;0;0;.;0;0;0
1638 Orkdal;1638;Orkdal;13;100;13;100;0;0;13;0;0
1640 Røros;1640;Røros;17;100;0;0;17;100;0;17;0
1644 Holtålen;1644;Holtålen;0;100;0;0;0;.;0;0;0
1648 Midtre Gauldal;1648;Midtre Gauldal;6;100;1;16,7;5;83,33333333;0;6;0
1653 Melhus;1653;Melhus;8;100;2;25;6;75;2;6;0
1657 Skaun;1657;Skaun;0;100;0;0;0;.;0;0;0
1662 Klæbu;1662;Klæbu;8;100;1;12,5;7;87,5;0;8;0
1663 Malvik;1663;Malvik;5;100;0;0;5;100;0;5;0
1664 Selbu;1664;Selbu;2;100;0;0;2;100;2;0;0
1665 Tydal;1665;Tydal;0;100;0;0;0;.;0;0;0
1702 Steinkjer;1702;Steinkjer;46;100;40;87;6;13,04347826;39;7;0
1703 Namsos;1703;Namsos;47;100;34;72,3;13;27,65957447;34;13;0
1711 Meråker;1711;Meråker;0;100;0;0;0;.;0;0;0
1714 Stjørdal;1714;Stjørdal;34;100;17;50;17;50;17;17;0
1717 Frosta;1717;Frosta;0;100;0;0;0;.;0;0;0
1718 Leksvik;1718;Leksvik;0;100;0;0;0;.;0;0;0
1719 Levanger;1719;Levanger;86;100;37;43;49;56,97674419;37;49;0
1721 Verdal;1721;Verdal;0;100;0;0;0;.;0;0;0
1724 Verran;1724;Verran;2;100;0;0;2;100;2;0;0
1725 Namdalseid;1725;Namdalseid;0;100;0;0;0;.;0;0;0
1736 Snåsa;1736;Snåsa;10;100;10;100;0;0;10;0;0
1738 Lierne;1738;Lierne;0;100;0;0;0;.;0;0;0
1739 Røyrvik;1739;Røyrvik;0;100;0;0;0;.;0;0;0
1740 Namsskogan;1740;Namsskogan;0;100;0;0;0;.;0;0;0
1742 Grong;1742;Grong;10;100;10;100;0;0;10;0;0
1743 Høylandet;1743;Høylandet;0;100;0;0;0;.;0;0;0
1744 Overhalla;1744;Overhalla;0;100;0;0;0;.;0;0;0
1748 Fosnes;1748;Fosnes;0;100;0;0;0;.;0;0;0
1749 Flatanger;1749;Flatanger;0;100;0;0;0;.;0;0;0
