Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0623 Modum;623;Modum;1480;93;1359;28;100;6,3;91,8;1,9;823;62;748;13;100;7,5;90,9;1,6;657;31;611;15;100;4,7;93;2,3
0624 Øvre Eiker;624;Øvre Eiker;2143;137;1967;39;100;6,4;91,8;1,8;1161;66;1073;22;100;5,7;92,4;1,9;982;71;894;17;100;7,2;91;1,7
0625 Nedre Eiker;625;Nedre Eiker;3004;254;2538;212;100;8,5;84,5;7,1;1524;142;1284;98;100;9,3;84,3;6,4;1480;112;1254;114;100;7,6;84,7;7,7
0626 Lier;626;Lier;3176;217;2809;150;100;6,8;88,4;4,7;1653;119;1452;82;100;7,2;87,8;5;1523;98;1357;68;100;6,4;89,1;4,5
0627 Røyken;627;Røyken;2684;115;2521;48;100;4,3;93,9;1,8;1414;60;1323;31;100;4,2;93,6;2,2;1270;55;1198;17;100;4,3;94,3;1,3
0628 Hurum;628;Hurum;1210;60;1141;9;100;5;94,3;0,7;643;41;595;7;100;6,4;92,5;1,1;567;19;546;2;100;3,4;96,3;0,4
0631 Flesberg;631;Flesberg;305;7;298;.;100;2,3;97,7;.;153;1;152;.;100;0,7;99,3;.;152;6;146;.;100;3,9;96,1;.
0632 Rollag;632;Rollag;189;7;177;5;100;3,7;93,7;2,6;90;2;83;5;100;2,2;92,2;5,6;99;5;94;.;100;5,1;94,9;.
0633 Nore og Uvdal;633;Nore og Uvdal;383;16;364;3;100;4,2;95;0,8;224;11;210;3;100;4,9;93,8;1,3;159;5;154;.;100;3,1;96,9;.
0701 Horten;701;Horten;3363;273;2994;96;100;8,1;89;2,9;1762;160;1558;44;100;9,1;88,4;2,5;1601;113;1436;52;100;7,1;89,7;3,2
0702 Holmestrand;702;Holmestrand;1248;77;1145;26;100;6,2;91,7;2,1;612;30;570;12;100;4,9;93,1;2;636;47;575;14;100;7,4;90,4;2,2
0704 Tønsberg;704;Tønsberg;4921;316;4504;101;100;6,4;91,5;2,1;2567;174;2350;43;100;6,8;91,5;1,7;2354;142;2154;58;100;6;91,5;2,5
0706 Sandefjord;706;Sandefjord;5811;412;5160;239;100;7,1;88,8;4,1;3061;225;2710;126;100;7,4;88,5;4,1;2750;187;2450;113;100;6,8;89,1;4,1
0709 Larvik;709;Larvik;5484;331;4956;197;100;6;90,4;3,6;3054;188;2752;114;100;6,2;90,1;3,7;2430;143;2204;83;100;5,9;90,7;3,4
0711 Svelvik;711;Svelvik;827;42;765;20;100;5,1;92,5;2,4;439;23;406;10;100;5,2;92,5;2,3;388;19;359;10;100;4,9;92,5;2,6
0713 Sande (Vestf.);713;Sande (Vestf.);1162;52;1096;14;100;4,5;94,3;1,2;606;30;570;6;100;5;94,1;1;556;22;526;8;100;4;94,6;1,4
0714 Hof;714;Hof;424;14;404;6;100;3,3;95,3;1,4;225;10;212;3;100;4,4;94,2;1,3;199;4;192;3;100;2;96,5;1,5
0716 Re;716;Re (f.o.m. 2002);1257;78;1157;22;100;6,2;92;1,8;650;30;610;10;100;4,6;93,8;1,5;607;48;547;12;100;7,9;90,1;2
0719 Andebu;719;Andebu;739;35;692;12;100;4,7;93,6;1,6;405;23;376;6;100;5,7;92,8;1,5;334;12;316;6;100;3,6;94,6;1,8
0720 Stokke;720;Stokke;1576;107;1431;38;100;6,8;90,8;2,4;761;55;688;18;100;7,2;90,4;2,4;815;52;743;20;100;6,4;91,2;2,5
0722 Nøtterøy;722;Nøtterøy;2812;193;2557;62;100;6,9;90,9;2,2;1419;85;1287;47;100;6;90,7;3,3;1393;108;1270;15;100;7,8;91,2;1,1
