Kommune nr & navn;kommune_nr;"Kommune
navn";spraak.alle;spraak.minoritet;spraak.ikke_minoritet;spraak.alle;spraak.minoritet;spraak.ikke_minoritet
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent
1517 Hareid;1517;Hareid;16;1;15;100;6,3;93,7
1519 Volda;1519;Volda;33;10;23;100;30,3;69,7
1520 Ørsta;1520;Ørsta;43;16;27;100;37,2;62,8
1523 Ørskog;1523;Ørskog;8;3;5;100;37,5;62,5
1524 Norddal;1524;Norddal;:;:;:;:;:;:
1525 Stranda;1525;Stranda;26;7;19;100;26,9;73,1
1528 Sykkylven;1528;Sykkylven;84;22;62;100;26,2;73,8
1529 Skodje;1529;Skodje;18;3;15;100;16,7;83,3
1531 Sula;1531;Sula;28;3;25;100;10,7;89,3
1532 Giske;1532;Giske;32;6;26;100;18,8;81,2
1534 Haram;1534;Haram;33;7;26;100;21,2;78,8
1535 Vestnes;1535;Vestnes;24;2;22;100;8,3;91,7
1539 Rauma;1539;Rauma;51;8;43;100;15,7;84,3
1543 Nesset;1543;Nesset;8;.;.;:;.;:
1545 Midsund;1545;Midsund;15;2;13;100;13,3;86,7
1546 Sandøy;1546;Sandøy;8;2;6;100;25;75
1547 Aukra;1547;Aukra;13;3;10;100;23,1;76,9
1548 Fræna;1548;Fræna;51;1;50;100;2;98
1551 Eide;1551;Eide;23;.;.;:;.;:
1554 Averøy;1554;Averøy;17;1;16;100;5,9;94,1
1557 Gjemnes;1557;Gjemnes;12;5;7;100;41,7;58,3
1560 Tingvoll;1560;Tingvoll;16;5;11;100;31,3;68,7
1563 Sunndal;1563;Sunndal;26;12;14;100;46,2;53,8
1566 Surnadal;1566;Surnadal;20;4;16;100;20;80
1567 Rindal;1567;Rindal;7;.;.;:;.;:
1571 Halsa;1571;Halsa;:;:;:;:;:;:
1573 Smøla;1573;Smøla;5;.;.;:;.;:
1576 Aure;1576;Aure;12;2;10;100;16,7;83,3
1601 Trondheim;1601;Trondheim;1030;265;765;100;25,7;74,3
1612 Hemne;1612;Hemne;33;5;28;100;15,2;84,8
1613 Snillfjord;1613;Snillfjord;4;1;3;100;25;75
1617 Hitra;1617;Hitra;21;3;18;100;14,3;85,7
1620 Frøya;1620;Frøya;18;2;16;100;11,1;88,9
1621 Ørland;1621;Ørland;31;1;30;100;3,2;96,8
1622 Agdenes;1622;Agdenes;5;.;.;:;.;:
1624 Rissa;1624;Rissa;40;.;.;:;.;:
1627 Bjugn;1627;Bjugn;24;2;22;100;8,3;91,7
1630 Åfjord;1630;Åfjord;8;1;7;100;12,5;87,5
1632 Roan;1632;Roan;:;:;:;:;:;:
1633 Osen;1633;Osen;:;:;:;:;:;:
1634 Oppdal;1634;Oppdal;24;1;23;100;4,2;95,8
1635 Rennebu;1635;Rennebu;6;.;.;:;.;:
1636 Meldal;1636;Meldal;18;1;17;100;5,6;94,4
1638 Orkdal;1638;Orkdal;101;16;85;100;15,8;84,2
1640 Røros;1640;Røros;13;1;12;100;7,7;92,3
1644 Holtålen;1644;Holtålen;9;.;.;:;.;:
