Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere
Nedbrytninger;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0819 Nome;819;Nome;954;784;170;45;125;22,3;20,7;34,4;20,1;46,3
0821 Bø (Telemark);821;Bø (Telem.);756;595;161;76;85;19,6;17,8;30,8;28,3;33,6
0822 Sauherad;822;Sauherad;587;494;93;33;60;20,8;19,7;30;20;41,4
0826 Tinn;826;Tinn;790;648;142;42;100;20,6;19,4;29,1;18,3;38,6
0827 Hjartdal;827;Hjartdal;183;156;27;18;9;18;16,3;50;43,9;69,2
0828 Seljord;828;Seljord;362;315;47;19;28;19,1;18,4;26,7;15,7;50,9
0829 Kviteseid;829;Kviteseid;260;225;35;27;8;16,1;15,4;23;22,5;25
0830 Nissedal;830;Nissedal;161;140;21;15;6;16,8;16,2;23,3;19,7;42,9
0831 Fyresdal;831;Fyresdal;141;108;33;21;12;17;14,8;33;26,3;60
0833 Tokke;833;Tokke;217;200;17;12;5;15,1;14,9;17,5;20,3;13,2
0834 Vinje;834;Vinje;307;259;48;24;24;12,6;11,7;20,5;15,4;30,8
0901 Risør;901;Risør;1094;914;180;64;116;24,3;22,6;39,4;26,7;53,5
0904 Grimstad;904;Grimstad;2887;2345;542;241;301;20;18,7;28,6;23,7;34,2
0906 Arendal;906;Arendal;6850;5497;1353;539;814;23,5;21,7;35,3;27,7;43,1
0911 Gjerstad;911;Gjerstad;412;350;62;15;47;25;23,2;43,7;25,4;56,6
0912 Vegårshei;912;Vegårshei;260;227;33;16;17;20,4;19,1;38,8;39;38,6
0914 Tvedestrand;914;Tvedestrand;1008;852;156;73;83;25,5;24,2;36,4;28,2;49,1
0919 Froland;919;Froland;763;680;83;49;34;21,2;20,5;28,5;27,7;29,8
0926 Lillesand;926;Lillesand;1271;1080;191;71;120;19,5;18,4;29,7;22,5;36,5
0928 Birkenes;928;Birkenes;587;489;98;35;63;18,3;17,1;27,5;20,1;34,6
0929 Åmli;929;Åmli;283;243;40;15;25;24;23,6;26,8;17,2;40,3
0935 Iveland;935;Iveland;183;161;22;7;15;20,7;20,1;26,8;14;46,9
0937 Evje og Hornnes;937;Evje og Hornnes;449;352;97;32;65;20;18;33,3;28,6;36,3
0938 Bygland;938;Bygland;171;151;20; : ; : ;21,3;20,3;35,1; : ; : 
0940 Valle;940;Valle;129;106;23;6;17;15,3;13,9;28;15,4;39,5
0941 Bykle;941;Bykle;77;55;22;11;11;11,6;10,3;17,5;12,2;30,6
1001 Kristiansand;1001;Kristiansand;11288;8121;3167;801;2366;19,5;16,8;33;23,6;38,1
1002 Mandal;1002;Mandal;2185;1740;445;146;299;21,9;19,7;38,4;27,8;47,2
1003 Farsund;1003;Farsund;1138;951;187;70;117;18,9;17,3;35,8;25,3;47,8
1004 Flekkefjord;1004;Flekkefjord;1063;857;206;94;112;18,5;17;29;21,7;40,4
1014 Vennesla;1014;Vennesla;1917;1636;281;105;176;20,8;19,6;31,4;22,2;41,6
1017 Songdalen;1017;Songdalen;889;705;184;68;116;21,4;19,8;30,6;25;35,2
1018 Søgne;1018;Søgne;1342;1110;232;101;131;18,7;17,1;33,4;27;40,9
1021 Marnardal;1021;Marnardal;293;247;46;18;28;19,6;18,2;32,2;21,7;46,7
1026 Åseral;1026;Åseral;77;57;20;14;6;13;10,9;27,4;28;26,1
1027 Audnedal;1027;Audnedal;166;141;25;16;9;15,3;14,1;28,4;23,2;47,4
1029 Lindesnes;1029;Lindesnes;664;551;113;50;63;21,5;20,3;30;20,8;46
1032 Lyngdal;1032;Lyngdal;1041;841;200;62;138;20,1;18,6;31,2;22;38,3
1034 Hægebostad;1034;Hægebostad;153;124;29;22;7;14,2;12,4;35,4;33,8;41,2
