Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent
1422 Lærdal;1422;Lærdal;1024;92;932;79,5;79,3;79,5
1424 Årdal;1424;Årdal;2459;275;2184;76,1;66,6;77,5
1426 Luster;1426;Luster;2450;179;2271;83,9;77,5;84,5
1428 Askvoll;1428;Askvoll;1350;83;1267;81,1;69,2;82,1
1429 Fjaler;1429;Fjaler;1216;99;1117;80,1;57,6;83
1430 Gaular;1430;Gaular;1413;122;1291;83,8;83;83,9
1431 Jølster;1431;Jølster;1481;116;1365;84,1;59,2;87,2
1432 Førde;1432;Førde;6571;611;5960;84;72,4;85,4
1433 Naustdal;1433;Naustdal;1350;93;1257;84,5;83;84,6
1438 Bremanger;1438;Bremanger;1695;265;1430;78,7;67,1;81,3
1439 Vågsøy;1439;Vågsøy;2759;361;2398;77,5;71,8;78,5
1441 Selje;1441;Selje;1291;102;1189;80,4;76,7;80,8
1443 Eid;1443;Eid;2855;219;2636;82,7;70,4;83,9
1444 Hornindal;1444;Hornindal;601;53;548;89;86,9;89,3
1445 Gloppen;1445;Gloppen;2736;207;2529;84,5;79,6;84,9
1449 Stryn;1449;Stryn;3428;597;2831;82,4;73,9;84,5
1502 Molde;1502;Molde;12646;1392;11254;79,5;69,8;80,8
1504 Ålesund;1504;Ålesund;22672;3046;19626;79,7;71,6;81,1
1505 Kristiansund;1505;Kristiansund;11345;1338;10007;74,7;67,5;75,8
1511 Vanylven;1511;Vanylven;1467;103;1364;77,9;73,6;78,3
1514 Sande (M. og R.);1514;Sande (M. og R.);1256;269;987;80,8;82;80,5
1515 Herøy (M. og R.);1515;Herøy (M. og R.);4111;544;3567;78,8;76,4;79,2
1516 Ulstein;1516;Ulstein;4021;754;3267;82;75,3;83,7
1517 Hareid;1517;Hareid;2363;416;1947;78,8;74,7;79,8
1519 Volda;1519;Volda;4088;337;3751;77,3;58;79,6
1520 Ørsta;1520;Ørsta;4927;390;4537;80,1;70,9;81
1523 Ørskog;1523;Ørskog;1096;164;932;79,6;67,8;82,1
1524 Norddal;1524;Norddal;791;93;698;85,5;86,9;85,3
1525 Stranda;1525;Stranda;2269;431;1838;85,1;83,4;85,5
1526 Stordal;1526;Stordal;461;87;374;78,3;75;79,1
1528 Sykkylven;1528;Sykkylven;3779;495;3284;82,3;72,8;84
1529 Skodje;1529;Skodje;2129;212;1917;80,6;72,9;81,5
1531 Sula;1531;Sula;4187;509;3678;82,4;78,2;83
1532 Giske;1532;Giske;3748;413;3335;82,9;73,2;84,3
1534 Haram;1534;Haram;4295;679;3616;81;74,1;82,4
1535 Vestnes;1535;Vestnes;3094;418;2676;77,2;74,6;77,6
1539 Rauma;1539;Rauma;3484;331;3153;80,6;83;80,3
1543 Nesset;1543;Nesset;1443;92;1351;80,7;75,4;81,1
1545 Midsund;1545;Midsund;905;145;760;82,1;82,9;82
1546 Sandøy;1546;Sandøy;614;99;515;83,5;79,8;84,3
1547 Aukra;1547;Aukra;1569;198;1371;81,1;78,9;81,4
1548 Fræna;1548;Fræna;4628;399;4229;79,8;68,1;81,2
1551 Eide;1551;Eide;1644;123;1521;81,3;68;82,6
1554 Averøy;1554;Averøy;2709;289;2420;80;80,5;79,9
1557 Gjemnes;1557;Gjemnes;1251;96;1155;82,3;70,1;83,5
1560 Tingvoll;1560;Tingvoll;1375;134;1241;77,8;68,4;79
1563 Sunndal;1563;Sunndal;3233;206;3027;75,9;50,4;78,6
1566 Surnadal;1566;Surnadal;2772;125;2647;80,1;66,8;80,8
1567 Rindal;1567;Rindal;949;18;931;83,9;81,8;83,9
1571 Halsa;1571;Halsa;723;41;682;79,5;69,5;80,2
1573 Smøla;1573;Smøla;1002;103;899;78,6;78;78,7
1576 Aure;1576;Aure;1628;177;1451;77,9;72,8;78,6
1601 Trondheim;1601;Trondheim;92076;11224;80852;77,6;64,5;79,9
1612 Hemne;1612;Hemne;1929;109;1820;79;59,9;80,5
1613 Snillfjord;1613;Snillfjord;467;26;441;81,5;78,8;81,7
1617 Hitra;1617;Hitra;2094;506;1588;75,4;76,8;75
1620 Frøya;1620;Frøya;2170;553;1617;78,4;84,7;76,4
1621 Ørland;1621;Ørland;2407;144;2263;78,4;70,2;79
1622 Agdenes;1622;Agdenes;787;64;723;81,2;70,3;82,3
1624 Rissa;1624;Rissa;2959;275;2684;76,4;65,6;77,8
1627 Bjugn;1627;Bjugn;2018;137;1881;74,9;74,9;74,9
1630 Åfjord;1630;Åfjord;1506;58;1448;82,4;80,6;82,5
1632 Roan;1632;Roan;446;41;405;78,9;83,7;78,5
1633 Osen;1633;Osen;440;19;421;80,7;76;81
1634 Oppdal;1634;Oppdal;3159;260;2899;78,8;67,5;80
1635 Rennebu;1635;Rennebu;1161;55;1106;79,5;74,3;79,8
1636 Meldal;1636;Meldal;1738;108;1630;74,6;69,7;74,9
1638 Orkdal;1638;Orkdal;5423;355;5068;77,7;63,6;78,9
1640 Røros;1640;Røros;2704;217;2487;81,9;77;82,4
1644 Holtålen;1644;Holtålen;920;49;871;80,3;73,1;80,7
1648 Midtre Gauldal;1648;Midtre Gauldal;3121;506;2615;82;79,8;82,4
1653 Melhus;1653;Melhus;7644;491;7153;81,2;66,8;82,4
1657 Skaun;1657;Skaun;3607;183;3424;81,7;72,3;82,3
1662 Klæbu;1662;Klæbu;2905;221;2684;82,3;71,5;83,3
1663 Malvik;1663;Malvik;6472;575;5897;80,5;73,2;81,3
1664 Selbu;1664;Selbu;1897;98;1799;80,7;66,7;81,6
1665 Tydal;1665;Tydal;425;22;403;87,3;88;87,2
1702 Steinkjer;1702;Steinkjer;9699;567;9132;76,7;57;78,4
1703 Namsos;1703;Namsos;5961;389;5572;77,8;60,3;79,4
1711 Meråker;1711;Meråker;1054;84;970;69,9;49,1;72,6
1714 Stjørdal;1714;Stjørdal;10581;705;9876;79,5;65,3;80,8
1717 Frosta;1717;Frosta;1118;100;1018;75,3;69,9;75,9
1718 Leksvik;1718;Leksvik;1571;115;1456;76,7;71,4;77,2
1719 Levanger;1719;Levanger;9116;696;8420;79,5;70,2;80,3
1721 Verdal;1721;Verdal;6742;480;6262;76,1;64,5;77,2
1724 Verran;1724;Verran;1006;118;888;66,3;50;69,3
1725 Namdalseid;1725;Namdalseid;758;39;719;78,8;81,3;78,7
1736 Snåsa;1736;Snåsa;995;40;955;82,4;81,6;82,5
1738 Lierne;1738;Lierne;678;53;625;85,7;85,5;85,7
1739 Røyrvik;1739;Røyrvik;234;21;213;83,6;84;83,5
1740 Namsskogan;1740;Namsskogan;383;22;361;77,4;75,9;77,5
1742 Grong;1742;Grong;1070;78;992;76,1;43,8;80,8
1743 Høylandet;1743;Høylandet;596;29;567;86,1;80,6;86,4
1744 Overhalla;1744;Overhalla;1787;94;1693;82,1;65,3;83,3
1748 Fosnes;1748;Fosnes;272;24;248;73,5;75;73,4
1749 Flatanger;1749;Flatanger;523;49;474;80,3;65,3;82,3
1750 Vikna;1750;Vikna;2042;183;1859;81,4;73,2;82,3
1751 Nærøy;1751;Nærøy;2266;153;2113;77,2;64,8;78,2
1755 Leka;1755;Leka;245;21;224;79,8;84;79,4
1756 Inderøy (f.o.m. 2012);1756;Inderøy (f.o.m. 2012);3081;143;2938;78,5;64,4;79,4
1804 Bodø;1804;Bodø;24955;2031;22924;79,9;64,8;81,5
1805 Narvik;1805;Narvik;8417;954;7463;73,9;64,2;75,3
