kommune;kommune_nr;kommune_navn;bosetting.vedtak;bosetting.vedtak;bosetting.bosatt;bosetting.bosatt;bosetting.anmodning;bosetting.anmodning
Nedbrytninger;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent
1648 Midtre Gauldal;1648;Midtre Gauldal;8;100;9;112,5;15;187,50
1653 Melhus;1653;Melhus;15;100;16;106,67;30;200,00
1657 Skaun;1657;Skaun;8;100;4;50;20;250,00
1662 Klæbu;1662;Klæbu;.;.;0;.;15;.
1663 Malvik;1663;Malvik;15;100;13;86,67;25;166,67
1664 Selbu;1664;Selbu;.;.;0;.;10;.
1665 Tydal;1665;Tydal;.;.;0;.;0;.
1702 Steinkjer;1702;Steinkjer;30;100;32;106,67;45;150,00
1703 Namsos;1703;Namsos;40;100;43;107,5;40;100,00
1711 Meråker;1711;Meråker;10;100;10;100;20;200,00
1714 Stjørdal;1714;Stjørdal;35;100;37;105,71;45;128,57
1717 Frosta;1717;Frosta;.;.;0;.;10;.
1718 Leksvik;1718;Leksvik;10;100;11;110;10;100,00
1719 Levanger;1719;Levanger;45;100;43;95,56;45;100,00
1721 Verdal;1721;Verdal;25;100;25;100;35;140,00
1724 Verran;1724;Verran;15;100;17;113,33;15;100,00
1725 Namdalseid;1725;Namdalseid;.;.;0;.;10;.
1736 Snåsa;1736;Snåsa;10;100;10;100;10;100,00
1738 Lierne;1738;Lierne;.;.;0;.;0;.
1739 Røyrvik;1739;Røyrvik;.;.;0;.;0;.
1740 Namsskogan;1740;Namsskogan;.;.;0;.;0;.
1742 Grong;1742;Grong;10;100;11;110;15;150,00
1743 Høylandet;1743;Høylandet;.;.;0;.;10;.
1744 Overhalla;1744;Overhalla;10;100;10;100;10;100,00
1748 Fosnes;1748;Fosnes;.;.;0;.;0;.
1749 Flatanger;1749;Flatanger;.;.;0;.;0;.
1750 Vikna;1750;Vikna;10;100;10;100;15;150,00
1751 Nærøy;1751;Nærøy;15;100;20;133,33;15;100,00
1755 Leka;1755;Leka;.;.;0;.;0;.
1756 Inderøy (f.o.m. 2012);1756;Inderøy (f.o.m. 2012);.;.;10;.;0;.
1804 Bodø;1804;Bodø;70;100;72;102,86;90;128,57
1805 Narvik;1805;Narvik;40;100;42;105;55;137,50
1811 Bindal;1811;Bindal;.;.;0;.;0;.
1812 Sømna;1812;Sømna;10;100;9;90;20;200,00
1813 Brønnøy;1813;Brønnøy;25;100;19;76;30;120,00
1815 Vega;1815;Vega;.;.;0;.;0;.
1816 Vevelstad;1816;Vevelstad;.;.;0;.;0;.
1818 Herøy (Nordl.);1818;Herøy (Nordl.);0;.;0;.;10;.
1820 Alstahaug;1820;Alstahaug;30;100;31;103,33;30;100,00
1822 Leirfjord;1822;Leirfjord;20;100;21;105;15;75,00
1824 Vefsn;1824;Vefsn;25;100;23;92;30;120,00
1825 Grane;1825;Grane;.;.;0;.;0;.
1826 Hattfjelldal;1826;Hattfjelldal;10;100;1;10;15;150,00
1827 Dønna;1827;Dønna;0;.;0;.;15;.
1828 Nesna;1828;Nesna;11;100;15;136,36;15;136,36
1832 Hemnes;1832;Hemnes;.;.;4;.;10;.
1833 Rana;1833;Rana;50;100;42;84;60;120,00
1834 Lurøy;1834;Lurøy;.;.;0;.;0;.
1835 Træna;1835;Træna;.;.;0;.;0;.
1836 Rødøy;1836;Rødøy;.;.;0;.;0;.
1837 Meløy;1837;Meløy;15;100;15;100;15;100,00
1838 Gildeskål;1838;Gildeskål;15;100;15;100;15;100,00
1839 Beiarn;1839;Beiarn;10;100;9;90;10;100,00
1840 Saltdal;1840;Saltdal;10;100;17;170;10;100,00
1841 Fauske;1841;Fauske;18;100;15;83,33;20;111,11
1845 Sørfold;1845;Sørfold;.;.;0;.;0;.
1848 Steigen;1848;Steigen;10;100;9;90;10;100,00
1849 Hamarøy;1849;Hamarøy;15;100;16;106,67;15;100,00
1850 Tysfjord;1850;Tysfjord;10;100;1;10;10;100,00
1851 Lødingen;1851;Lødingen;10;100;7;70;15;150,00
1852 Tjeldsund;1852;Tjeldsund;.;.;0;.;0;.
1853 Evenes;1853;Evenes;.;.;5;.;10;.
1854 Ballangen;1854;Ballangen;10;100;10;100;10;100,00
1856 Røst;1856;Røst;.;.;0;.;10;.
1857 Værøy;1857;Værøy;.;.;0;.;0;.
1859 Flakstad;1859;Flakstad;.;.;0;.;0;.
1860 Vestvågøy;1860;Vestvågøy;40;100;36;90;40;100,00
1865 Vågan;1865;Vågan;40;100;37;92,5;40;100,00
1866 Hadsel;1866;Hadsel;15;100;16;106,67;30;200,00
1867 Bø (Nordl.);1867;Bø (Nordl.);15;100;15;100;10;66,67
1868 Øksnes;1868;Øksnes;10;100;6;60;20;200,00
1870 Sortland;1870;Sortland;25;100;29;116;30;120,00
1871 Andøy;1871;Andøy;30;100;28;93,33;30;100,00
1874 Moskenes;1874;Moskenes;.;.;0;.;0;.
1902 Tromsø;1902;Tromsø;100;100;113;113;100;100,00
1903 Harstad;1903;Harstad;.;.;60;.;0;.
1911 Kvæfjord;1911;Kvæfjord;0;.;3;.;10;.
1913 Skånland;1913;Skånland;10;100;8;80;10;100,00
1917 Ibestad;1917;Ibestad;5;100;2;40;15;300,00
1919 Gratangen;1919;Gratangen;5;100;1;20;10;200,00
1920 Lavangen;1920;Lavangen;.;.;0;.;10;.
1922 Bardu;1922;Bardu;10;100;12;120;10;100,00
1923 Salangen;1923;Salangen;20;100;17;85;20;100,00
1924 Målselv;1924;Målselv;10;100;13;130;20;200,00
1925 Sørreisa;1925;Sørreisa;14;100;14;100;15;107,14
1926 Dyrøy;1926;Dyrøy;.;.;0;.;0;.
1927 Tranøy;1927;Tranøy;15;100;16;106,67;15;100,00
1928 Torsken;1928;Torsken;.;.;0;.;0;.
1929 Berg;1929;Berg;10;100;11;110;15;150,00
1931 Lenvik;1931;Lenvik;40;100;54;135;40;100,00
1933 Balsfjord;1933;Balsfjord;.;.;0;.;20;.
1936 Karlsøy;1936;Karlsøy;.;.;0;.;0;.
1938 Lyngen;1938;Lyngen;.;.;0;.;0;.
1939 Storfjord;1939;Storfjord;5;100;4;80;10;200,00
1940 Gáivuotna Kåfjord;1940;Gáivuotna Kåfjord;.;.;0;.;0;.
1941 Skjervøy;1941;Skjervøy;.;.;1;.;10;.
1942 Nordreisa;1942;Nordreisa;10;100;10;100;20;200,00
1943 Kvænangen;1943;Kvænangen;.;.;0;.;0;.
2002 Vardø;2002;Vardø;.;.;0;.;20;.
2003 Vadsø;2003;Vadsø;80;100;93;116,25;90;112,50
2004 Hammerfest;2004;Hammerfest;30;100;33;110;25;83,33
2011 Guovdageaidnu Kautokeino;2011;Guovdageaidnu Kautokeino;.;.;0;.;0;.
2012 Alta;2012;Alta;35;100;37;105,71;30;85,71
2014 Loppa;2014;Loppa;.;.;0;.;0;.
2015 Hasvik;2015;Hasvik;.;.;0;.;0;.
2017 Kvalsund;2017;Kvalsund;.;.;0;.;0;.
2018 Måsøy;2018;Måsøy;.;.;0;.;0;.
2019 Nordkapp;2019;Nordkapp;0;.;0;.;10;.
2020 Porsanger;2020;Porsanger Porsángu Porsanki;15;100;17;113,33;15;100,00
2021 Kárásjohka Karasjok;2021;Kárásjohka Karasjok;.;.;0;.;0;.
2022 Lebesby;2022;Lebesby;.;.;0;.;0;.
2023 Gamvik;2023;Gamvik;.;.;0;.;0;.
2024 Berlevåg;2024;Berlevåg;.;.;0;.;0;.
2025 Deatnu Tana;2025;Deatnu Tana;.;.;0;.;0;.
