Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere
Nedbrytninger;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1444 Hornindal;1444;Hornindal;5;4; : ; : ; : ;0,9;0,8; : ; : ; : 
1445 Gloppen;1445;Gloppen;25;19;6;1;5;0,9;0,8;2,9;0,8;5,7
1449 Stryn;1449;Stryn;113;63;50;34;16;3,2;2,2;7,3;5,8;17,2
1502 Molde;1502;Molde;289;181;108;55;53;2,2;1,5;7,2;6;9,1
1504 Ålesund;1504;Ålesund;671;391;280;161;119;2,8;1,9;8,5;7,4;10,8
1505 Kristiansund;1505;Kristiansund;393;256;137;78;59;3,3;2,4;9,2;8,3;10,7
1511 Vanylven;1511;Vanylven;27;20;7;5;2;1,9;1,5;7,5;7,1;8,4
1514 Sande (M. og R.);1514;Sande (M. og R.);35;24;11;8;3;2,7;2,4;3,7;3;11,5
1515 Herøy (M. og R.);1515;Herøy (M. og R.);112;75;37;26;11;2,7;2,1;6,4;5,8;8,4
1516 Ulstein;1516;Ulstein;89;64;25;7;18;2,1;1,8;3,2;1,2;9
1517 Hareid;1517;Hareid;77;42;35;23;12;3,1;2;7,8;7,7;7,9
1519 Volda;1519;Volda;76;58;18;9;9;1,8;1,5;5,1;4,6;5,8
