kommunenr-kommunenavn;kommune_nr;"Kommune
navn";tilskudd_til_kommuner.totalt;tilskudd_til_kommuner.inttilsk_1-5;tilskudd_til_kommuner.inttilsk_1;tilskudd_til_kommuner.inttilsk_2-5;tilskudd_til_kommuner.funkhem;tilskudd_til_kommuner.norsk-samf_tilsk;tilskudd_til_kommuner.em_tilsk;tilskudd_til_kommuner.barnehage_tilsk;tilskudd_til_kommuner.eldre_tilsk;tilskudd_til_kommuner.skole_tilsk
1931 Lenvik;1931;Lenvik;34395367,00;22341400,00;8011500,00;14329900,00;2901208,00;8251200,00;207259,00;136300,00;147600,00;410400,00
1933 Balsfjord;1933;Balsfjord;1128400,00;0,00;0,00;0,00;0,00;1128400,00;0,00;0,00;0,00;0,00
1936 Karlsøy;1936;Karlsøy;721200,00;0,00;0,00;0,00;0,00;721200,00;0,00;0,00;0,00;0,00
1938 Lyngen;1938;Lyngen;700300,00;0,00;0,00;0,00;0,00;700300,00;0,00;0,00;0,00;0,00
1939 Storfjord;1939;Storfjord;6177300,00;2207000,00;1373000,00;834000,00;0,00;3970300,00;0,00;0,00;0,00;0,00
1940 Gáivuotna Kåfjord;1940;Gáivuotna Kåfjord;3681100,00;0,00;0,00;0,00;0,00;3681100,00;0,00;0,00;0,00;0,00
1941 Skjervøy;1941;Skjervøy;2211800,00;1339000,00;215000,00;1124000,00;0,00;838600,00;0,00;0,00;0,00;34200,00
1942 Nordreisa;1942;Nordreisa;12434800,00;9947800,00;3235000,00;6712800,00;0,00;2213200,00;0,00;45800,00;0,00;228000,00
1943 Kvænangen;1943;Kvænangen;293000,00;0,00;0,00;0,00;0,00;293000,00;0,00;0,00;0,00;0,00
2002 Vardø;2002;Vardø;839200,00;0,00;0,00;0,00;0,00;839200,00;0,00;0,00;0,00;0,00
2003 Vadsø;2003;Vadsø;75989058,00;49740050,00;12625500,00;37114550,00;3099170,00;13098600,00;8492138,00;182100,00;295200,00;1081800,00
2004 Hammerfest;2004;Hammerfest;27635438,00;20477700,00;5646500,00;14831200,00;0,00;4368300,00;2492838,00;45800,00;0,00;250800,00
2011 Guovdageaidnu Kautokeino;2011;Guovdageaidnu Kautokeino;881800,00;0,00;0,00;0,00;0,00;881800,00;0,00;0,00;0,00;0,00
2012 Alta;2012;Alta;33848403,00;17679100,00;4378000,00;13301100,00;990800,00;10539000,00;4297203,00;68700,00;0,00;273600,00
2014 Loppa;2014;Loppa;750500,00;0,00;0,00;0,00;0,00;750500,00;0,00;0,00;0,00;0,00
2015 Hasvik;2015;Hasvik;843300,00;80000,00;0,00;80000,00;0,00;751900,00;0,00;0,00;0,00;11400,00
2017 Kvalsund;2017;Kvalsund;206400,00;0,00;0,00;0,00;0,00;206400,00;0,00;0,00;0,00;0,00
2018 Måsøy;2018;Måsøy;664200,00;0,00;0,00;0,00;0,00;664200,00;0,00;0,00;0,00;0,00
2019 Nordkapp;2019;Nordkapp;4215173,00;2161800,00;145000,00;2016800,00;574773,00;1455800,00;0,00;0,00;0,00;22800,00
2020 Porsanger;2020;Porsanger Porsángu Porsanki;10310900,00;7058400,00;3200000,00;3858400,00;0,00;1829300,00;1309000,00;45800,00;0,00;68400,00
2021 Kárásjohka Karasjok;2021;Kárásjohka Karasjok;1070600,00;0,00;0,00;0,00;0,00;1070600,00;0,00;0,00;0,00;0,00
2022 Lebesby;2022;Lebesby;758600,00;0,00;0,00;0,00;0,00;758600,00;0,00;0,00;0,00;0,00
2023 Gamvik;2023;Gamvik;891200,00;0,00;0,00;0,00;0,00;891200,00;0,00;0,00;0,00;0,00
2024 Berlevåg;2024;Berlevåg;697800,00;0,00;0,00;0,00;0,00;697800,00;0,00;0,00;0,00;0,00
2025 Deatnu Tana;2025;Deatnu Tana;1095300,00;0,00;0,00;0,00;0,00;1095300,00;0,00;0,00;0,00;0,00
2027 Unjargga-Nesseby;2027;Unjárga Nesseby;721200,00;0,00;0,00;0,00;0,00;721200,00;0,00;0,00;0,00;0,00
2028 Båtsfjord;2028;Båtsfjord;3427100,00;1895800,00;0,00;1895800,00;0,00;1531300,00;0,00;0,00;0,00;0,00
2030 Sør-Varanger;2030;Sør-Varanger;29286654,00;15839650,00;7043000,00;8796650,00;8661066,00;4409600,00;114538,00;159200,00;0,00;102600,00
