Kommune nr & navn;kommune_nr;Kommunenavn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0511 Dovre;511;Dovre;2704;211;2493;12;2481;100;7,8;92,2;0,4;91,8;1354;101;1253;8;1245;50,1;3,7;46,3;0,3;46;1350;110;1240;4;1236;49,9;4,1;45,9;0,1;45,7
0512 Lesja;512;Lesja;2076;125;1951;7;1944;100;6;94;0,3;93,6;1058;64;994;4;990;51;3,1;47,9;0,2;47,7;1018;61;957;3;954;49;2,9;46,1;0,1;46
0513 SkjÜk;513;SkjÜk;2264;136;2128;7;2121;100;6;94;0,3;93,7;1148;85;1063;7;1057;50,7;3,8;47;0,3;46,7;1116;51;1065;0;1064;49,3;2,3;47;0;47
0514 Lom;514;Lom;2361;103;2258;13;2245;100;4,4;95,6;0,6;95,1;1218;55;1163;8;1155;51,6;2,3;49,3;0,3;48,9;1143;48;1095;5;1090;48,4;2;46,4;0,2;46,2
0515 VÜgÜ;515;VÜgÜ;3686;149;3537;18;3519;100;4;96;0,5;95,5;1854;62;1792;14;1778;50,3;1,7;48,6;0,4;48,2;1832;87;1745;4;1741;49,7;2,4;47,3;0,1;47,2
0516 Nord-Fron;516;Nord-Fron;5765;308;5457;24;5433;100;5,3;94,7;0,4;94,2;2898;157;2741;13;2728;50,3;2,7;47,5;0,2;47,3;2867;151;2716;11;2705;49,7;2,6;47,1;0,2;46,9
0517 Sel;517;Sel;5974;328;5646;35;5611;100;5,5;94,5;0,6;93,9;3017;181;2836;21;2815;50,5;3;47,5;0,4;47,1;2957;147;2810;14;2796;49,5;2,5;47;0,2;46,8
0519 Sõr-Fron;519;Sõr-Fron;3191;206;2985;25;2960;100;6,5;93,5;0,8;92,8;1619;117;1502;12;1490;50,7;3,7;47,1;0,4;46,7;1572;89;1483;13;1470;49,3;2,8;46,5;0,4;46,1
0520 Ringebu;520;Ringebu;4495;386;4109;33;4076;100;8,6;91,4;0,7;90,7;2257;222;2035;12;2023;50,2;4,9;45,3;0,3;45;2238;164;2074;21;2053;49,8;3,6;46,1;0,5;45,7
0521 ùyer;521;ùyer;5090;522;4568;59;4509;100;10,3;89,7;1,2;88,6;2608;297;2311;30;2281;51,2;5,8;45,4;0,6;44,8;2482;225;2257;29;2228;48,8;4,4;44,3;0,6;43,8
0522 Gausdal;522;Gausdal;6237;325;5912;32;5880;100;5,2;94,8;0,5;94,3;3185;175;3010;16;2994;51,1;2,8;48,3;0,3;48;3052;150;2902;16;2886;48,9;2,4;46,5;0,3;46,3
