kommune;kommune_nr;kommune_navn;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle
;;;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1233 Ulvik;1233;Ulvik;7,2;:;:;:;7
1234 Granvin;1234;Granvin;8,9;31;:;35,4;7,3
1235 Voss;1235;Voss;7,2;23,2;38,9;30;6,1
1238 Kvam;1238;Kvam;7,1;24,4;41;31,1;5,3
1241 Fusa;1241;Fusa;6,2;15,9;:;14,4;5,7
1242 Samnanger;1242;Samnanger;6;16;35,7;24,1;4,8
1243 Os (Hord.);1243;Os (Hord.);6,2;19,8;18,9;19,5;5,1
1244 Austevoll;1244;Austevoll;4,7;18,2;18;18,2;3,6
1245 Sund;1245;Sund;5,6;15,7;26,4;20;4,3
1246 Fjell;1246;Fjell;4,7;18,4;21,8;19,8;3,7
1247 Askøy;1247;Askøy;4,9;13,8;27,3;19,5;4
1251 Vaksdal;1251;Vaksdal;8,1;19,1;48,1;30,2;6,8
1252 Modalen;1252;Modalen;5,8;:;:;:;5,5
1253 Osterøy;1253;Osterøy;6,8;20,2;12,8;18,7;6
1256 Meland;1256;Meland;4,9;19,4;19,5;19,4;3,9
1259 Øygarden;1259;Øygarden;5,8;12,9;11,9;12,4;5,3
1260 Radøy;1260;Radøy;7,1;21,1;17,3;20,2;6
1263 Lindås;1263;Lindås;5,8;15,5;24,9;18,7;5,1
1264 Austrheim;1264;Austrheim;4,6;11,7;:;10,7;4
1265 Fedje;1265;Fedje;5,7;:;:;:;5,6
1266 Masfjorden;1266;Masfjorden;5,3;:;:;:;5,1
1401 Flora;1401;Flora;6,4;12,5;32,2;22,9;4,9
1411 Gulen;1411;Gulen;8;17,8;:;19,6;7,4
1412 Solund;1412;Solund;8,1;:;:;:;7,2
1413 Hyllestad;1413;Hyllestad;6,8;:;:;:;6,9
1416 Høyanger;1416;Høyanger;6,5;23,6;31,1;27,3;5,1
1417 Vik;1417;Vik;7,5;26,8;35,5;28,7;6,2
1418 Balestrand;1418;Balestrand;7,7;13,8;33,3;20,4;5,9
1419 Leikanger;1419;Leikanger;4,7;15,6;30,3;20,6;4
1420 Sogndal;1420;Sogndal;8,9;21;36,6;27,5;7,9
1421 Aurland;1421;Aurland;7,2;18,2;:;16,7;6,7
1422 Lærdal;1422;Lærdal;5;13,6;:;11,7;4,6
1424 Årdal;1424;Årdal;3,4;15,3;10,3;13,9;2,6
1426 Luster;1426;Luster;7,7;13,9;40,8;20,5;7,2
1428 Askvoll;1428;Askvoll;8;41,7;:;35,8;6,8
1429 Fjaler;1429;Fjaler;8,3;33,3;:;26,6;7,3
1430 Gaular;1430;Gaular;7;25,8;:;23,9;6,1
1431 Jølster;1431;Jølster;7,1;16,5;55,6;31;5,8
1432 Førde;1432;Førde;5,6;15,1;26,1;20,5;4,6
1433 Naustdal;1433;Naustdal;5,4;15,3;:;14,7;5
1438 Bremanger;1438;Bremanger;7,5;19;15,3;17,9;6,4
1439 Vågsøy;1439;Vågsøy;6,9;24;9,5;19,5;5,8
1441 Selje;1441;Selje;7,5;20;:;17,2;7
1443 Eid;1443;Eid;6,7;12,7;36,1;22,3;5,8
1444 Hornindal;1444;Hornindal;7,7;:;:;:;7,5
