Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers
1622 Agdenes;1622;Agdenes;92;192;111;187;520;267;375;6;16;8;21;61;10;6;86;176;103;166;459;257;369;47;94;60;100;263;150;173;3;10;5;8;28;7;3;44;84;55;92;235;143;170;45;98;51;87;257;117;202;3;6;3;13;33;3;3;42;92;48;74;224;114;199
1624 Rissa;1624;Rissa;423;856;373;726;2154;995;1119;7;36;17;86;299;40;13;416;820;356;640;1855;955;1106;220;450;202;375;1167;526;507;4;16;13;49;203;23;3;216;434;189;326;964;503;504;203;406;171;351;987;469;612;3;20;4;37;96;17;10;200;386;167;314;891;452;602
1627 Bjugn;1627;Bjugn;351;535;255;520;1379;799;872;3;21;12;33;130;22;12;348;514;243;487;1249;777;860;180;279;132;249;708;398;416;0;11;7;16;62;8;6;180;268;125;233;646;390;410;171;256;123;271;671;401;456;3;10;5;17;68;14;6;168;246;118;254;603;387;450
1630 Åfjord;1630;Åfjord;145;401;196;335;969;519;677;6;9;4;20;50;4;3;139;392;192;315;919;515;674;70;215;109;201;493;261;303;3;6;0;8;22;4;0;67;209;109;193;471;257;303;75;186;87;134;476;258;374;3;3;3;12;28;0;3;72;183;84;122;448;258;371
1632 Roan;1632;Roan;48;101;64;97;278;188;210;4;13;4;6;37;5;0;44;88;60;91;241;183;210;29;53;25;55;136;104;99;3;4;3;3;18;5;0;26;49;22;52;118;99;99;19;48;39;42;142;84;111;1;9;1;3;19;0;0;18;39;38;39;123;84;111
1633 Osen;1633;Osen;49;116;52;87;275;181;237;0;0;0;0;19;3;0;49;116;52;87;256;178;237;34;52;20;51;140;102;127;0;0;0;0;9;3;0;34;52;20;51;131;99;127;15;64;32;36;135;79;110;0;0;0;0;10;0;0;15;64;32;36;125;79;110
1634 Oppdal;1634;Oppdal;460;847;348;806;2141;1066;1146;13;49;21;105;243;37;17;447;798;327;701;1898;1029;1129;225;439;182;403;1114;521;505;8;21;13;43;147;16;7;217;418;169;360;967;505;498;235;408;166;403;1027;545;641;5;28;8;62;96;21;10;230;380;158;341;931;524;631
1635 Rennebu;1635;Rennebu;126;312;140;284;728;447;519;0;4;3;18;52;6;4;126;308;137;266;676;441;515;74;156;81;148;381;225;246;0;2;0;8;31;2;0;74;154;81;140;350;223;246;52;156;59;136;347;222;273;0;2;3;10;21;4;4;52;154;56;126;326;218;269
1636 Meldal;1636;Meldal;258;438;201;471;1197;660;737;4;17;11;46;101;7;4;254;421;190;425;1096;653;733;132;208;99;244;630;344;331;0;9;6;25;59;4;4;132;199;93;219;571;340;327;126;230;102;227;567;316;406;4;8;5;21;42;3;0;122;222;97;206;525;313;406
1638 Orkdal;1638;Orkdal;895;1467;553;1365;3786;1844;1718;12;82;34;145;355;64;24;883;1385;519;1220;3431;1780;1694;454;782;286;698;1927;933;762;7;39;17;71;168;34;12;447;743;269;627;1759;899;750;441;685;267;667;1859;911;956;5;43;17;74;187;30;12;436;642;250;593;1672;881;944
1640 Røros;1640;Røros;299;620;323;597;1723;975;1046;4;22;15;69;169;43;21;295;598;308;528;1554;932;1025;160;314;154;313;844;488;476;0;8;10;27;87;22;6;160;306;144;286;757;466;470;139;306;169;284;879;487;570;4;14;5;42;82;21;15;135;292;164;242;797;466;555
1644 Holtålen;1644;Holtålen;104;230;96;215;580;348;451;0;13;0;11;49;7;6;104;217;96;204;531;341;445;40;111;49;103;300;189;208;0;6;0;5;20;5;3;40;105;49;98;280;184;205;64;119;47;112;280;159;243;0;7;0;6;29;2;3;64;112;47;106;251;157;240
1648 Midtre Gauldal;1648;Midtre Gauldal;436;732;337;873;2112;832;1039;11;47;17;190;412;33;6;425;685;320;683;1700;799;1033;204;398;181;434;1067;432;476;5;31;9;97;199;17;3;199;367;172;337;868;415;473;232;334;156;439;1045;400;563;6;16;8;93;213;16;3;226;318;148;346;832;384;560
1653 Melhus;1653;Melhus;1250;2199;879;1932;5406;2076;2102;18;77;40;191;504;53;19;1232;2122;839;1741;4902;2023;2083;654;1128;479;973;2812;1075;942;12;39;27;86;300;34;4;642;1089;452;887;2512;1041;938;596;1071;400;959;2594;1001;1160;6;38;13;105;204;19;15;590;1033;387;854;2390;982;1145
1657 Skaun;1657;Skaun;709;1029;350;882;2599;947;876;6;26;11;66;163;21;9;703;1003;339;816;2436;926;867;378;548;175;442;1343;507;433;0;15;8;31;87;14;3;378;533;167;411;1256;493;430;331;481;175;440;1256;440;443;6;11;3;35;76;7;6;325;470;172;405;1180;433;437
1662 Klæbu;1662;Klæbu;484;954;401;694;2165;670;602;7;23;14;81;212;22;17;477;931;387;613;1953;648;585;245;499;211;354;1114;332;287;3;12;9;38;123;14;7;242;487;202;316;991;318;280;239;455;190;340;1051;338;315;4;11;5;43;89;8;10;235;444;185;297;962;330;305
1663 Malvik;1663;Malvik;1114;1941;825;1456;4932;1650;1453;19;81;38;175;556;62;33;1095;1860;787;1281;4376;1588;1420;574;993;444;737;2505;870;692;10;39;21;92;318;36;15;564;954;423;645;2187;834;677;540;948;381;719;2427;780;761;9;42;17;83;238;26;18;531;906;364;636;2189;754;743
1664 Selbu;1664;Selbu;230;516;196;452;1256;642;738;4;14;3;33;91;23;5;226;502;193;419;1165;619;733;136;260;113;250;654;327;343;4;4;0;18;50;12;0;132;256;113;232;604;315;343;94;256;83;202;602;315;395;0;10;3;15;41;11;5;94;246;80;187;561;304;390
1665 Tydal;1665;Tydal;47;81;51;114;247;127;197;3;0;0;9;15;0;7;44;81;51;105;232;127;190;18;42;26;63;114;73;85;0;0;0;2;8;0;0;18;42;26;61;106;73;85;29;39;25;51;133;54;112;3;0;0;7;7;0;7;26;39;25;44;126;54;105
1702 Steinkjer;1702;Steinkjer;1514;2542;1202;2675;6646;3356;3620;39;120;63;293;613;94;44;1475;2422;1139;2382;6033;3262;3576;785;1322;607;1375;3397;1731;1605;17;54;35;167;328;61;15;768;1268;572;1208;3069;1670;1590;729;1220;595;1300;3249;1625;2015;22;66;28;126;285;33;29;707;1154;567;1174;2964;1592;1986
1703 Namsos;1703;Namsos;964;1768;767;1720;4057;1888;1919;29;103;57;197;395;63;28;935;1665;710;1523;3662;1825;1891;520;918;401;873;1992;941;842;11;50;30;86;190;28;15;509;868;371;787;1802;913;827;444;850;366;847;2065;947;1077;18;53;27;111;205;35;13;426;797;339;736;1860;912;1064
1711 Meråker;1711;Meråker;155;288;146;288;773;440;463;15;29;14;52;100;17;9;140;259;132;236;673;423;454;82;145;75;147;391;229;211;6;14;6;32;44;6;6;76;131;69;115;347;223;205;73;143;71;141;382;211;252;9;15;8;20;56;11;3;64;128;63;121;326;200;249
1714 Stjørdal;1714;Stjørdal;1762;3104;1347;2607;7558;3139;3166;37;137;85;241;722;118;42;1725;2967;1262;2366;6836;3021;3124;894;1582;705;1316;3836;1587;1424;17;58;48;117;350;59;15;877;1524;657;1199;3486;1528;1409;868;1522;642;1291;3722;1552;1742;20;79;37;124;372;59;27;848;1443;605;1167;3350;1493;1715
1717 Frosta;1717;Frosta;185;354;153;298;806;377;480;13;10;4;49;87;9;5;172;344;149;249;719;368;475;87;184;73;159;416;192;218;6;7;0;27;41;3;0;81;177;73;132;375;189;218;98;170;80;139;390;185;262;7;3;3;22;46;6;5;91;167;77;117;344;179;257
1718 Leksvik;1718;Leksvik;249;452;171;363;1099;594;627;5;20;0;34;119;16;5;244;432;171;329;980;578;622;124;224;88;172;566;299;295;2;8;0;20;59;7;3;122;216;88;152;507;292;292;125;228;83;191;533;295;332;3;12;0;14;60;9;2;122;216;83;177;473;286;330
1719 Levanger;1719;Levanger;1390;2473;1109;2535;6062;2877;2766;28;123;78;278;613;106;49;1362;2350;1031;2257;5449;2771;2717;712;1259;543;1283;3086;1438;1245;14;61;38;142;318;54;24;698;1198;505;1141;2768;1384;1221;678;1214;566;1252;2976;1439;1521;14;62;40;136;295;52;25;664;1152;526;1116;2681;1387;1496
1721 Verdal;1721;Verdal;1030;1899;886;1762;4790;2288;2133;18;77;43;142;527;62;39;1012;1822;843;1620;4263;2226;2094;544;953;476;900;2525;1151;995;10;35;21;71;355;44;20;534;918;455;829;2170;1107;975;486;946;410;862;2265;1137;1138;8;42;22;71;172;18;19;478;904;388;791;2093;1119;1119
1724 Verran;1724;Verran;148;267;132;273;824;403;515;4;14;3;40;159;23;3;144;253;129;233;665;380;512;74;130;67;151;459;224;228;0;7;3;21;124;15;0;74;123;64;130;335;209;228;74;137;65;122;365;179;287;4;7;0;19;35;8;3;70;130;65;103;330;171;284
1725 Namdalseid;1725;Namdalseid;102;195;93;189;474;300;323;0;5;6;4;39;6;4;102;190;87;185;435;294;319;51;100;53;95;246;161;154;0;3;3;2;15;2;2;51;97;50;93;231;159;152;51;95;40;94;228;139;169;0;2;3;2;24;4;2;51;93;37;92;204;135;167
1736 Snåase Snåsa;1736;Snåsa;124;261;129;253;623;335;431;0;9;0;10;36;10;7;124;252;129;243;587;325;424;65;136;64;142;309;179;206;0;2;0;2;17;4;2;65;134;64;140;292;175;204;59;125;65;111;314;156;225;0;7;0;8;19;6;5;59;118;65;103;295;150;220
1738 Lierne;1738;Lierne;62;194;63;135;396;254;281;0;7;3;17;34;10;9;62;187;60;118;362;244;272;31;112;33;69;206;137;123;0;3;0;5;12;5;3;31;109;33;64;194;132;120;31;82;30;66;190;117;158;0;4;3;12;22;5;6;31;78;27;54;168;112;152
1739 Røyrvik;1739;Røyrvik;29;61;25;57;130;92;104;3;5;0;6;13;6;0;26;56;25;51;117;86;104;11;34;15;29;67;51;46;3;2;0;2;7;2;0;8;32;15;27;60;49;46;18;27;10;28;63;41;58;0;3;0;4;6;4;0;18;24;10;24;57;37;58
1740 Namsskogan;1740;Namsskogan;52;112;47;65;273;154;219;3;0;0;3;20;6;0;49;112;47;62;253;148;219;28;61;22;36;130;83;103;2;0;0;1;4;2;0;26;61;22;35;126;81;103;24;51;25;29;143;71;116;1;0;0;2;16;4;0;23;51;25;27;127;67;116
1742 Grong;1742;Grong;155;257;166;302;705;401;463;9;21;29;71;90;16;7;146;236;137;231;615;385;456;78;128;97;176;354;221;209;3;11;24;49;53;8;3;75;117;73;127;301;213;206;77;129;69;126;351;180;254;6;10;5;22;37;8;4;71;119;64;104;314;172;250
1743 Høylandet;1743;Høylandet;89;187;52;126;348;218;237;0;3;0;9;23;4;3;89;184;52;117;325;214;234;43;95;25;70;174;115;109;0;1;0;6;10;3;0;43;94;25;64;164;112;109;46;92;27;56;174;103;128;0;2;0;3;13;1;3;46;90;27;53;161;102;125
1744 Overhalla;1744;Overhalla;308;486;196;474;1158;551;559;5;26;11;54;84;9;0;303;460;185;420;1074;542;559;154;260;105;240;592;301;253;5;14;8;26;45;4;0;149;246;97;214;547;297;253;154;226;91;234;566;250;306;0;12;3;28;39;5;0;154;214;88;206;527;245;306
1748 Fosnes;1748;Fosnes;34;66;32;69;185;117;139;0;5;4;3;28;3;3;34;61;28;66;157;114;136;20;34;16;32;95;62;65;0;2;0;2;14;0;2;20;32;16;30;81;62;63;14;32;16;37;90;55;74;0;3;4;1;14;3;1;14;29;12;36;76;52;73
1749 Flatanger;1749;Flatanger;48;133;69;123;324;200;223;0;4;3;23;43;9;6;48;129;66;100;281;191;217;25;68;37;64;177;105;106;0;3;1;8;25;6;2;25;65;36;56;152;99;104;23;65;32;59;147;95;117;0;1;2;15;18;3;4;23;64;30;44;129;92;113
1750 Vikna;1750;Vikna;344;579;263;519;1395;601;620;14;38;18;70;167;18;4;330;541;245;449;1228;583;616;169;285;129;258;748;304;284;4;20;9;36;85;8;4;165;265;120;222;663;296;280;175;294;134;261;647;297;336;10;18;9;34;82;10;0;165;276;125;227;565;287;336
1751 Nærøy;1751;Nærøy;331;598;303;614;1580;752;886;6;27;16;55;160;28;7;325;571;287;559;1420;724;879;173;309;163;331;830;410;401;3;14;10;25;79;14;3;170;295;153;306;751;396;398;158;289;140;283;750;342;485;3;13;6;30;81;14;4;155;276;134;253;669;328;481
1755 Leka;1755;Leka;24;53;24;58;138;109;150;0;3;0;0;19;5;0;24;50;24;58;119;104;150;9;27;11;35;66;59;63;0;0;0;0;5;1;0;9;27;11;35;61;58;63;15;26;13;23;72;50;87;0;3;0;0;14;4;0;15;23;13;23;58;46;87
1756 Inderøy;1756;Inderøy (f.o.m. 2012);436;906;399;776;2036;1110;1057;10;33;8;64;137;27;16;426;873;391;712;1899;1083;1041;220;451;198;415;1008;560;500;5;15;0;36;69;15;7;215;436;198;379;939;545;493;216;455;201;361;1028;550;557;5;18;8;28;68;12;9;211;437;193;333;960;538;548
1804 Bodø;1804;Bodø;3772;6024;2711;7173;17286;6793;5972;81;236;165;969;1903;255;113;3691;5788;2546;6204;15383;6538;5859;1925;3080;1358;3771;8787;3363;2676;45;103;86;525;1015;124;40;1880;2977;1272;3246;7772;3239;2636;1847;2944;1353;3402;8499;3430;3296;36;133;79;444;888;131;73;1811;2811;1274;2958;7611;3299;3223
1805 Narvik;1805;Narvik;1268;2034;1036;2604;5869;2920;2974;52;137;74;489;853;145;65;1216;1897;962;2115;5016;2775;2909;670;1031;548;1398;2975;1550;1260;26;75;47;281;448;77;32;644;956;501;1117;2527;1473;1228;598;1003;488;1206;2894;1370;1714;26;62;27;208;405;68;33;572;941;461;998;2489;1302;1681
1811 Bindal;1811;Bindal;84;156;85;143;390;315;330;3;0;0;11;23;3;0;81;156;85;132;367;312;330;54;83;40;71;207;162;152;3;0;0;5;12;2;0;51;83;40;66;195;160;152;30;73;45;72;183;153;178;0;0;0;6;11;1;0;30;73;45;66;172;152;178
1812 Sømna;1812;Sømna;121;263;115;227;651;311;359;3;12;6;25;54;7;7;118;251;109;202;597;304;352;72;138;52;119;321;162;163;3;8;3;11;20;3;3;69;130;49;108;301;159;160;49;125;63;108;330;149;196;0;4;3;14;34;4;4;49;121;60;94;296;145;192
1813 Brønnøy;1813;Brønnøy;569;1026;476;947;2611;1122;1146;12;63;24;98;249;32;6;557;963;452;849;2362;1090;1140;282;507;242;477;1284;571;520;8;34;8;48;101;13;3;274;473;234;429;1183;558;517;287;519;234;470;1327;551;626;4;29;16;50;148;19;3;283;490;218;420;1179;532;623
1815 Vega;1815;Vega;56;138;80;115;376;214;244;3;6;0;3;31;3;0;53;132;80;112;345;211;244;29;78;41;59;193;112;113;3;2;0;3;10;0;0;26;76;41;56;183;112;113;27;60;39;56;183;102;131;0;4;0;0;21;3;0;27;56;39;56;162;99;131
1816 Vevelstad;1816;Vevelstad;25;57;26;40;150;97;100;0;3;0;5;19;0;0;25;54;26;35;131;97;100;14;32;16;19;78;45;53;0;3;0;2;9;0;0;14;29;16;17;69;45;53;11;25;10;21;72;52;47;0;0;0;3;10;0;0;11;25;10;18;62;52;47
1818 Herøy;1818;Herøy (Nordl.);102;179;99;231;519;284;319;9;15;8;67;93;11;3;93;164;91;164;426;273;316;55;93;51;134;274;155;139;5;6;4;39;58;5;3;50;87;47;95;216;150;136;47;86;48;97;245;129;180;4;9;4;28;35;6;0;43;77;44;69;210;123;180
1820 Alstahaug;1820;Alstahaug;492;899;401;947;2328;1220;1107;24;74;31;147;296;62;18;468;825;370;800;2032;1158;1089;253;482;187;499;1148;622;523;11;37;20;81;158;27;6;242;445;167;418;990;595;517;239;417;214;448;1180;598;584;13;37;11;66;138;35;12;226;380;203;382;1042;563;572
1822 Leirfjord;1822;Leirfjord;160;227;133;276;677;376;339;9;32;12;40;76;12;6;151;195;121;236;601;364;333;81;110;68;149;358;213;157;3;16;7;17;39;6;0;78;94;61;132;319;207;157;79;117;65;127;319;163;182;6;16;5;23;37;6;6;73;101;60;104;282;157;176
1824 Vefsn;1824;Vefsn;842;1535;716;1625;4247;2064;2257;13;58;39;140;360;52;28;829;1477;677;1485;3887;2012;2229;450;778;377;861;2175;1069;1052;9;35;26;81;178;28;14;441;743;351;780;1997;1041;1038;392;757;339;764;2072;995;1205;4;23;13;59;182;24;14;388;734;326;705;1890;971;1191
1825 Grane;1825;Grane;78;187;64;149;443;239;305;3;14;0;23;32;7;4;75;173;64;126;411;232;301;46;103;34;76;234;139;147;3;9;0;8;13;3;0;43;94;34;68;221;136;147;32;84;30;73;209;100;158;0;5;0;15;19;4;3;32;79;30;58;190;96;155
1826 Hattfjelldal;1826;Hattfjelldal;91;167;85;175;440;230;312;6;13;10;45;49;16;6;85;154;75;130;391;214;306;54;88;44;98;230;110;165;3;7;5;27;25;8;3;51;81;39;71;205;102;162;37;79;41;77;210;120;147;3;6;5;18;24;8;3;34;73;36;59;186;112;144
1827 Dønna;1827;Dønna;85;174;73;161;403;254;270;0;5;4;15;34;10;3;85;169;69;146;369;244;267;36;96;44;86;210;131;128;0;3;3;11;19;3;3;36;93;41;75;191;128;125;49;78;29;75;193;123;142;0;2;1;4;15;7;0;49;76;28;71;178;116;142
1828 Nesna;1828;Nesna;125;217;137;266;613;258;286;9;32;33;73;127;11;0;116;185;104;193;486;247;286;60;122;76;133;308;145;121;6;18;23;43;74;8;0;54;104;53;90;234;137;121;65;95;61;133;305;113;165;3;14;10;30;53;3;0;62;81;51;103;252;110;165
1832 Hemnes;1832;Hemnes;286;547;255;529;1386;677;873;6;28;10;32;112;28;8;280;519;245;497;1274;649;865;149;314;129;276;728;350;394;3;12;7;13;51;15;3;146;302;122;263;677;335;391;137;233;126;253;658;327;479;3;16;3;19;61;13;5;134;217;123;234;597;314;474
1833 Rana;1833;Rana;1750;3111;1514;3247;8472;3847;4002;31;137;72;296;712;111;51;1719;2974;1442;2951;7760;3736;3951;942;1612;758;1709;4295;1994;1763;16;79;39;174;370;55;23;926;1533;719;1535;3925;1939;1740;808;1499;756;1538;4177;1853;2239;15;58;33;122;342;56;28;793;1441;723;1416;3835;1797;2211
1834 Lurøy;1834;Lurøy;138;215;93;216;551;306;382;3;10;0;28;50;8;0;135;205;93;188;501;298;382;72;121;46;116;284;163;180;3;6;0;12;15;5;0;69;115;46;104;269;158;180;66;94;47;100;267;143;202;0;4;0;16;35;3;0;66;90;47;84;232;140;202
1835 Træna;1835;Træna;27;71;30;61;161;68;71;0;10;0;19;50;5;0;27;61;30;42;111;63;71;16;41;14;35;83;37;35;0;5;0;10;29;3;0;16;36;14;25;54;34;35;11;30;16;26;78;31;36;0;5;0;9;21;2;0;11;25;16;17;57;29;36
1836 Rødøy;1836;Rødøy;85;204;71;150;360;217;218;0;11;0;11;33;6;0;85;193;71;139;327;211;218;43;110;34;73;190;123;98;0;4;0;4;10;5;0;43;106;34;69;180;118;98;42;94;37;77;170;94;120;0;7;0;7;23;1;0;42;87;37;70;147;93;120
1837 Meløy;1837;Meløy;424;801;403;763;1992;1001;1107;13;35;17;86;185;32;12;411;766;386;677;1807;969;1095;211;413;203;390;1023;542;488;5;15;7;36;87;19;5;206;398;196;354;936;523;483;213;388;200;373;969;459;619;8;20;10;50;98;13;7;205;368;190;323;871;446;612
1838 Gildeskål;1838;Gildeskål;113;222;100;206;602;366;414;6;29;10;39;101;9;3;107;193;90;167;501;357;411;48;120;54;111;319;193;173;0;15;4;21;54;5;0;48;105;50;90;265;188;173;65;102;46;95;283;173;241;6;14;6;18;47;4;3;59;88;40;77;236;169;238
1839 Beiarn;1839;Beiarn;50;103;59;90;310;220;256;6;5;0;5;18;6;4;44;98;59;85;292;214;252;24;53;25;48;161;118;128;3;0;0;0;7;3;0;21;53;25;48;154;115;128;26;50;34;42;149;102;128;3;5;0;5;11;3;3;23;45;34;37;138;99;125
1840 Saltdal;1840;Saltdal;295;478;247;548;1456;851;815;7;13;6;84;154;31;19;288;465;241;464;1302;820;796;145;252;124;292;768;428;379;0;6;6;54;92;17;7;145;246;118;238;676;411;372;150;226;123;256;688;423;436;7;7;0;30;62;14;12;143;219;123;226;626;409;424
1841 Fauske;1841;Fauske;557;1150;517;1086;3005;1607;1634;15;64;26;83;253;38;25;542;1086;491;1003;2752;1569;1609;282;589;272;582;1515;799;727;6;35;13;53;107;20;11;276;554;259;529;1408;779;716;275;561;245;504;1490;808;907;9;29;13;30;146;18;14;266;532;232;474;1344;790;893
1845 Sørfold;1845;Sørfold;94;252;88;212;569;368;404;4;12;8;19;47;5;0;90;240;80;193;522;363;404;50;124;42;115;312;179;196;4;8;3;9;19;0;0;46;116;39;106;293;179;196;44;128;46;97;257;189;208;0;4;5;10;28;5;0;44;124;41;87;229;184;208
1848 Steigen;1848;Steigen;121;286;151;285;734;472;530;0;31;12;30;98;16;8;121;255;139;255;636;456;522;58;134;74;164;389;243;243;0;12;5;20;53;8;3;58;122;69;144;336;235;240;63;152;77;121;345;229;287;0;19;7;10;45;8;5;63;133;70;111;300;221;282
1849 Hábmer Hamarøy;1849;Hamarøy;105;176;111;243;491;331;363;7;17;26;49;88;16;4;98;159;85;194;403;315;359;48;91;65;130;245;178;171;3;12;20;27;44;7;0;45;79;45;103;201;171;171;57;85;46;113;246;153;192;4;5;6;22;44;9;4;53;80;40;91;202;144;188
1850 Divtasvuodna Tysfjord;1850;Tysfjord;107;206;101;215;606;381;384;10;10;0;20;72;10;4;97;196;101;195;534;371;380;59;105;58;124;334;205;187;7;3;0;11;33;6;2;52;102;58;113;301;199;185;48;101;43;91;272;176;197;3;7;0;9;39;4;2;45;94;43;82;233;172;195
1851 Lødingen;1851;Lødingen;120;231;120;278;620;399;480;17;32;14;86;116;17;6;103;199;106;192;504;382;474;61;110;67;156;314;207;214;8;17;9;57;50;5;3;53;93;58;99;264;202;211;59;121;53;122;306;192;266;9;15;5;29;66;12;3;50;106;48;93;240;180;263
1852 Tjeldsund;1852;Tjeldsund;70;124;56;109;360;236;301;0;3;0;7;28;4;3;70;121;56;102;332;232;298;38;64;30;58;188;120;140;0;3;0;4;6;1;1;38;61;30;54;182;119;139;32;60;26;51;172;116;161;0;0;0;3;22;3;2;32;60;26;48;150;113;159
1853 Evenes;1853;Evenes;86;168;59;129;383;272;294;3;12;0;28;42;7;8;83;156;59;101;341;265;286;46;85;35;60;200;134;134;3;8;0;14;20;1;4;43;77;35;46;180;133;130;40;83;24;69;183;138;160;0;4;0;14;22;6;4;40;79;24;55;161;132;156
1854 Ballangen;1854;Ballangen;149;310;127;274;752;475;504;3;13;12;28;79;14;7;146;297;115;246;673;461;497;79;160;72;145;378;251;217;3;7;9;11;26;6;4;76;153;63;134;352;245;213;70;150;55;129;374;224;287;0;6;3;17;53;8;3;70;144;52;112;321;216;284
1856 Røst;1856;Røst;35;60;30;58;200;89;94;6;0;0;5;22;3;0;29;60;30;53;178;86;94;17;27;16;34;100;52;43;3;0;0;1;10;2;0;14;27;16;33;90;50;43;18;33;14;24;100;37;51;3;0;0;4;12;1;0;15;33;14;20;88;36;51
1857 Værøy;1857;Værøy;51;94;41;85;261;116;129;3;2;0;30;58;7;0;48;92;41;55;203;109;129;26;51;15;40;138;63;51;3;3;0;16;29;3;0;23;48;15;24;109;60;51;25;43;26;45;123;53;78;0;0;0;14;29;4;0;25;43;26;31;94;49;78
1859 Flakstad;1859;Flakstad;69;164;96;155;396;211;277;2;10;3;13;42;10;4;67;154;93;142;354;201;273;25;90;42;88;202;114;128;0;3;0;7;21;4;0;25;87;42;81;181;110;128;44;74;54;67;194;97;149;2;7;3;6;21;6;3;42;67;51;61;173;91;146
1860 Vestvågøy;1860;Vestvågøy;772;1400;684;1376;3371;1678;1716;39;91;59;178;373;64;21;733;1309;625;1198;2998;1614;1695;360;704;352;716;1675;854;789;17;51;40;99;162;30;12;343;653;312;617;1513;824;777;412;696;332;660;1696;824;927;22;40;19;79;211;34;9;390;656;313;581;1485;790;918
1865 Vågan;1865;Vågan;573;1143;468;1116;2960;1519;1444;28;94;57;203;501;71;32;545;1049;411;913;2459;1448;1412;291;584;244;574;1536;767;651;9;51;35;104;274;40;14;282;533;209;470;1262;727;637;282;559;224;542;1424;752;793;19;43;22;99;227;31;18;263;516;202;443;1197;721;775
1866 Hadsel;1866;Hadsel;494;954;472;962;2493;1303;1434;19;121;45;158;341;41;16;475;833;427;804;2152;1262;1418;253;500;240;523;1287;651;663;7;65;21;83;175;21;7;246;435;219;440;1112;630;656;241;454;232;439;1206;652;771;12;56;24;75;166;20;9;229;398;208;364;1040;632;762
1867 Bø;1867;Bø (Nordl.);112;278;138;220;767;443;684;9;25;5;28;88;16;6;103;253;133;192;679;427;678;61;140;69;119;382;241;293;4;14;0;18;37;5;3;57;126;69;101;345;236;290;51;138;69;101;385;202;391;5;11;5;10;51;11;3;46;127;64;91;334;191;388
1868 Øksnes;1868;Øksnes;273;560;288;535;1486;707;713;18;25;17;103;224;30;2;255;535;271;432;1262;677;711;140;264;148;269;763;373;321;8;8;10;45;111;11;3;132;256;138;224;652;362;318;133;296;140;266;723;334;392;10;17;7;58;113;19;0;123;279;133;208;610;315;392
1870 Sortland;1870;Sortland;735;1324;610;1276;3303;1478;1403;23;82;53;139;319;41;18;712;1242;557;1137;2984;1437;1385;385;688;325;691;1667;746;616;12;47;31;66;159;18;5;373;641;294;625;1508;728;611;350;636;285;585;1636;732;787;11;35;22;73;160;23;13;339;601;263;512;1476;709;774
1871 Andøy;1871;Andøy;292;591;299;539;1493;793;986;13;59;14;66;194;29;8;279;532;285;473;1299;764;978;160;306;155;278;773;418;428;5;34;8;27;97;15;3;155;272;147;251;676;403;425;132;285;144;261;720;375;558;8;25;6;39;97;14;5;124;260;138;222;623;361;553
1874 Moskenes;1874;Moskenes;56;116;54;107;356;177;242;3;6;0;34;90;13;3;53;110;54;73;266;164;239;27;66;33;62;200;99;111;0;3;0;20;54;11;0;27;63;33;42;146;88;111;29;50;21;45;156;78;131;3;3;0;14;36;2;3;26;47;21;31;120;76;128
1902 Tromsø;1902;Tromsø;5477;8542;3672;11339;26124;9333;7103;181;467;208;1871;4033;563;156;5296;8075;3464;9468;22091;8770;6947;2883;4386;1930;5684;13352;4638;3239;85;230;119;902;2209;271;61;2798;4156;1811;4782;11143;4367;3178;2594;4156;1742;5655;12772;4695;3864;96;237;89;969;1824;292;95;2498;3919;1653;4686;10948;4403;3769
